Location,Name,Rating,Address,Phone Number,Num Reviews,Num Photos,Price Range Per Person (CAD),Cuisine Type 1,Cuisine Type 2,Cuisine Type 3,Cuisine Type 4,Cuisine Type 5,Cuisine Type 6,Cuisine Type 7,Cuisine Type 8
Cariboo & Lougheed,Midam Cafe & Bistro,3.9,"North Road Centre, 110-4501 North Road, Burnaby V3K3V8",+16045685357,225,226,22.5,Korean,Asian,,,,,,
Cariboo & Lougheed,Cafe Tealips,4.3,"7139 Arcola Way, Burnaby V5E1E9",+17783973972,299,104,12.5,Cafe,,,,,,,
Cariboo & Lougheed,House of Tofu Soup,4.3,"4563 North Road, Burnaby V3K3V8",+16044205254,309,155,15.0,Korean,Asian,,,,,,
Cariboo & Lougheed,Lhy Thai,4.1,"7357 Edmonds Street, Burnaby V3N 1A9",+16045268085,205,58,20.0,Thai,Asian,,,,,,
Cariboo & Lougheed,Balkan House,4.3,"7530 Edmonds Street, Burnaby V3N 1B4",+16045240404,119,30,22.5,Mediterranean,Eastern European,,,,,,
Cariboo & Lougheed,Amorosa Santali House,3.9,"7874 Edmonds Street, Burnaby V3N 1B9",+16045253343,152,43,25.0,Greek,Italian,,,,,,
Cariboo & Lougheed,Yan's Garden Restaurant,3.6,"9948 Lougheed Highway, Burnaby V3N 4M7",+16044218823,147,186,22.5,Chinese,Dim Sum,Asian,,,,,
Cariboo & Lougheed,Jong Ga Korean Restaurant,3.8,"4333 North Road, Burnaby V3N",+16044217085,85,93,22.5,Korean,Asian,,,,,,
Cariboo & Lougheed,Dae Ji Pork Cutlet House,3.8,"North Road Centre, Korea Plaza, 4501 North Road, Burnaby V3K3V8",+16045669107,99,66,17.5,Korean,Asian,,,,,,
Cariboo & Lougheed,Me-n-Ed's Pizza Parlor,3.9,"7110 Hall Avenue, Burnaby V5E 1E9",+16045218881,128,44,20.0,Pizza,Italian,,,,,,
Cariboo & Lougheed,Red Robin,3.4,"9628 Cameron Street, Burnaby V3J 1M3",+16044217266,92,108,15.0,Burger,Canadian,,,,,,
Cariboo & Lougheed,Sushi Gen Restaurant,3.6,"Lougheed Plaza, 9626 Cameron Street, Burnaby V3J1M2",+16044215118,61,42,17.5,Sushi,Japanese,Asian,,,,,
Cariboo & Lougheed,Osaka Island,3.8,"7617 Edmonds Street, Burnaby V3N1B6",+17783978884,62,34,15.0,Sushi,Japanese,Asian,,,,,
Cariboo & Lougheed,Abyssinia Ethiopian Restaurant,3.7,"7546 Edmonds Street, Burnaby V3N1B4",+17783971121,49,43,22.5,Ethiopian,African,,,,,,
Cariboo & Lougheed,White Spot,3.5,"4075 North Road, Burnaby V3J 1S3",+16044214620,70,75,25.0,Canadian,,,,,,,
Cariboo & Lougheed,Indian Bombay Bistro,3.6,"7558 6th Street, Burnaby V3N3M3",+16045531718,56,57,20.0,Indian,,,,,,,
Cariboo & Lougheed,Standing Egg Coffee,3.4,"4501 North Rd, Unit 109, Burnaby, Burnaby V3N 4R7",+16047894339,20,32,10.0,Coffee and Tea,,,,,,,
