,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Cariboo & Lougheed,Midam Cafe & Bistro,3.9,CA$45 for two,"Korean, Asian","North Road Centre, 110-4501 North Road, Burnaby V3K3V8",+16045685357,225,226
1,Cariboo & Lougheed,Cafe Tealips,4.3,CA$25 for two,Cafe,"7139 Arcola Way, Burnaby V5E1E9",+17783973972,299,104
2,Cariboo & Lougheed,House of Tofu Soup,4.3,CA$30 for two,"Korean, Asian","4563 North Road, Burnaby V3K3V8",+16044205254,309,155
3,Cariboo & Lougheed,Lhy Thai,4.1,CA$40 for two,"Thai, Asian","7357 Edmonds Street, Burnaby V3N 1A9",+16045268085,205,58
4,Cariboo & Lougheed,Balkan House,4.3,CA$45 for two,"Mediterranean, Eastern European","7530 Edmonds Street, Burnaby V3N 1B4",+16045240404,119,30
5,Cariboo & Lougheed,Amorosa Santali House,3.9,CA$50 for two,"Greek, Italian","7874 Edmonds Street, Burnaby V3N 1B9",+16045253343,152,43
6,Cariboo & Lougheed,Yan's Garden Restaurant,3.6,CA$45 for two,"Chinese, Dim Sum, Asian","9948 Lougheed Highway, Burnaby V3N 4M7",+16044218823,147,186
7,Cariboo & Lougheed,Jong Ga Korean Restaurant,3.8,CA$45 for two,"Korean, Asian","4333 North Road, Burnaby V3N",+16044217085,85,93
8,Cariboo & Lougheed,Dae Ji Pork Cutlet House,3.8,CA$35 for two,"Korean, Asian","North Road Centre, Korea Plaza, 4501 North Road, Burnaby V3K3V8",+16045669107,99,66
9,Cariboo & Lougheed,Me-n-Ed's Pizza Parlor,3.9,CA$40 for two,"Pizza, Italian","7110 Hall Avenue, Burnaby V5E 1E9",+16045218881,128,44
10,Cariboo & Lougheed,Red Robin,3.4,CA$30 for two,"Burger, Canadian","9628 Cameron Street, Burnaby V3J 1M3",+16044217266,92,108
11,Cariboo & Lougheed,Sushi Gen Restaurant,3.6,CA$35 for two,"Sushi, Japanese, Asian","Lougheed Plaza, 9626 Cameron Street, Burnaby V3J1M2",+16044215118,61,42
