,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Central Burnaby,Sushi Garden,4.2,CA$25 for two,"Sushi, Japanese, Asian","4635 Kingsway, Burnaby V5H 2B3",+16044360104,761,274
1,Central Burnaby,Sushi Oyama,4.1,CA$35 for two,"Sushi, Japanese, Asian","5152 Kingsway, Burnaby V5H 2E8",+16045681012,478,398
2,Central Burnaby,Sushi S Japanese Restaurant,4.2,CA$25 for two,"Sushi, Japanese, Asian","4739 Willingdon Avenue, Burnaby V5G 3H5",+16044379399,201,248
3,Central Burnaby,Fondway Cafe,3.6,CA$15 for two,"Cafe, Sandwich","4462 Beresford Street, Burnaby, Burnaby V5H 2Y8",+16042836997,92,283
4,Central Burnaby,Saffron Indian Cuisine,4.2,CA$45 for two,Indian,"4300 Kingsway, Burnaby V5H 1Z5",+16044365000,333,80
5,Central Burnaby,Cattle Cafe,3.8,CA$30 for two,"Chinese, Asian","4877 Kingsway, Burnaby V5H 4T2",+16044308686,292,194
6,Central Burnaby,Grand Dynasty Seafood Restaurant - Grand Villa Casino,3.9,CA$55 for two,"Dim Sum, Chinese, Asian, Seafood","Grand Villa Casino, 4331 Dominion Street, Burnaby V5G 3E3",+16044326002,163,388
7,Central Burnaby,Bubble World,4.0,CA$30 for two,"Bubble Tea, Beverages, Asian","4300 Kingsway, Burnaby V5H 1Z5",+16044345551,250,190
8,Central Burnaby,Morak Korean Fusion Restaurant,3.8,CA$40 for two,"Korean, Asian Fusion, Asian","6285 Nelson Avenue, Burnaby V5H 4T5",+16044378839,137,171
9,Central Burnaby,Bow Bow Cafe,4.0,CA$25 for two,Taiwanese,"4611 Kingsway, Burnaby V5H 4L3",+16044355777,126,120
10,Central Burnaby,Little Sheep Mongolian Hot Pot,3.8,CA$40 for two,"Mongolian, Asian","Second Floor, 4755 Kingsway, Burnaby V5H 4W2",+16044340001,154,272
11,Central Burnaby,Boiling Point,3.6,CA$40 for two,"Taiwanese, Asian","5276 Kingsway, Burnaby V5H 2E9",+16046209737,176,205
12,Central Burnaby,The Keg,4.2,CA$90 for two,"Steak, Seafood","4510 Still Creek Avenue, Burnaby V5C 0B5",+16042944626,197,169
13,Central Burnaby,Tairyou Ichiba,3.8,CA$25 for two,"Sushi, Japanese, Asian","4300 Kingsway, Burnaby V5H 1Z9",+16044513331,131,154
14,Central Burnaby,Green Basil,3.8,CA$35 for two,"Thai, Asian","4623 Kingsway, Burnaby V5H 4L3",+16044391919,250,105
15,Central Burnaby,Hart House Restaurant,3.9,CA$60 for two,Canadian,"6664 Deer Lake Avenue, Burnaby V5E 2T2",+16042984278,174,114
16,Central Burnaby,Jin Jiang Shanghai Restaurant,3.8,CA$30 for two,"Chinese, Asian","5411 Kingsway, Burnaby V5H 2G1",+16046206755,139,187
17,Central Burnaby,Kiku Sushi,3.6,CA$30 for two,"Sushi, Japanese","4986 Kingsway, Burnaby V5H 4H2",+16044346020,104,245
18,Central Burnaby,Han Ju Tofu Hot Pot,3.7,CA$25 for two,"Korean, Asian","Crystal Mall, 4500 Kingsway, Burnaby V5H 2B1",+16044348098,190,52
19,Central Burnaby,Jang Mo Jib,3.3,CA$45 for two,Korean,"5075 Kingsway, Burnaby V5H 2E6",+16044390712,166,130
20,Central Burnaby,Ha Cafe,4.0,CA$20 for two,Vietnamese,"Old Orchard Centre, 28-4429 Kingsway, Burnaby, Burnaby V5H 2A1",+16044384818,100,79
21,Central Burnaby,El Inka Deli,4.1,CA$45 for two,"Peruvian, Colombian, Latin American","3826 Sunset Street, Burnaby V5G",+16044344545,74,59
22,Central Burnaby,Ramie's Greek Restaurant,4.0,CA$60 for two,"Greek, Mediterranean","4287 Kingsway, Burnaby V5H 4R9",+16044540199,100,70
23,Central Burnaby,Tai Won Chinese Restaurant,3.8,CA$40 for two,"Chinese, Korean, Asian","4727 Kingsway, Burnaby V5H 2C3",+16044373399,85,84
24,Central Burnaby,Burnaby Palace Restaurant,3.9,CA$35 for two,"Chinese, Asian","3110 Boundary Road, Burnaby V5M 4A2",+16044371818,129,59
25,Central Burnaby,Shanghai Dimsum House,4.0,CA$20 for two,"Chinese, Asian","Crystal Mall, Food Court, 4500 Kingsway, Burnaby V5H 2B1",+16049096688,98,62
26,Central Burnaby,S&W Pepper House,4.0,CA$35 for two,"Chinese, Asian","Crystal Mall, 1812-4500 Kingsway, Burnaby V5H 2A9",+16044513916,96,71
27,Central Burnaby,Abdul's BBQ,3.7,CA$20 for two,"Syrian, Middle Eastern","Crystal Mall, 1691-4500 Kingsway, Burnaby V5H 2B1",+16044319498,109,38
28,Central Burnaby,Green Bamboo Vietnamese Cuisine,3.8,CA$25 for two,"Vietnamese, Asian","Crystall Mall, 1230-4500 Kingsway, Burnaby V5H 2B1",+16044303433,89,70
29,Central Burnaby,Minoas Greek Taverna,2.8,CA$55 for two,"Greek, Mediterranean","3823 Kingsway, Burnaby V5H 3Y7",+16044302545,89,97
30,Central Burnaby,Chongqing Restaurant,3.8,CA$35 for two,"Chinese, Asian","4909 Kingsway, Burnaby V5H 2E5",+16045580101,82,71
31,Central Burnaby,Reflect social dining + lounge,3.8,CA$85 for two,"Pacific Northwest, European, Asian","Hilton Vancouver, 6083 McKay Avenue, Burnaby V5H 2W7",+16044381200,40,129
32,Central Burnaby,Pearl Castle Cafe,2.9,CA$35 for two,"Taiwanese, Asian, Bubble Tea","Old Orchard Centre, 14-4429 Kingsway, Burnaby V5H 2A1",+16045597929,90,93
33,Central Burnaby,On On Wonton House,4.0,CA$40 for two,"Chinese, Asian","5640 Kingsway, Central Burnaby, Burnaby, Burnaby V5H 2G5",+16044374000,108,37
34,Central Burnaby,Agra Tandoori Restaurant,3.8,CA$45 for two,Indian,"110-3790 Canada Way, Burnaby V5G 1G5",+16044301600,73,60
35,Central Burnaby,Kita Sushi,3.4,CA$30 for two,"Sushi, Japanese, Asian","4152 Dawson Street, Burnaby V5C4B3",+16042996994,53,104
36,Central Burnaby,Cherry Fruit Tea & Icy Bar,4.0,CA$20 for two,"Beverages, Desserts, Asian","Crystal Mall, Food Court, 4500 Kingsway, Burnaby V5H 2B1",+16047792928,63,19
37,Central Burnaby,Earls,3.3,CA$70 for two,Canadian,"3850 Lougheed Highway, Burnaby V5C 6N4",+16042055025,97,58
38,Central Burnaby,Pho 24 Express,3.9,CA$25 for two,"Vietnamese, Cambodian, Asian","4250 Kingsway, Burnaby V5H 1Z5",+16045689185,81,25
39,Central Burnaby,Personas - Grand Villa Casino,3.0,CA$75 for two,Bar Food,"Grand Villa Casino, 4331 Dominion Street, Burnaby V5G 1B2",+16044530811,27,125
40,Central Burnaby,James Street Cafe & Grill,3.5,CA$40 for two,Indian,"3819 Canada Way, Burnaby V5G 1G6",+16046761876,72,42
41,Central Burnaby,Chipotle Mexican Grill,3.7,CA$30 for two,"Mexican, Fast Food","Metropolis at Metrotown, Upper Level, 2200-4700 Kingsway, Burnaby V5H 4M1",+16044384444,62,35
42,Central Burnaby,IHOP,3.3,CA$25 for two,American,"5137 Kingsway, Burnaby V5H 2E6",+16044515557,65,77
43,Central Burnaby,Swiss Chalet,3.0,CA$50 for two,Canadian,"3860 Lougheed Highway, Burnaby V5C 6N4",+16042991761,71,72
