,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Richmond,Dinesty Dumpling House,4.4,CA$50 for two,"Shanghai, Chinese, Asian","Richport Town Centre, 160-8111 Ackroyd Road, Richmond V6X3J9",+16043037772,779,471
1,Central Richmond,G-men @ Nan Chu,4.4,CA$40 for two,"Ramen, Japanese, Asian","1160-8391 Alexandra Road, Richmond V6X 1C3",+16042768391,569,329
2,Central Richmond,Gyo-O,4.5,CA$35 for two,"Japanese, Asian","Continental Centre, 3779 Sexsmith Road, Richmond V6X 3Z9",+16042954072,445,386
3,Central Richmond,Bubble Queen,4.5,CA$10 for two,"Bubble Tea, Beverages","Pacific Plaza, 1180-8888 Odlin Crescent, Richmond V6X 3Z7",+17782977838,631,181
4,Central Richmond,Sushi Hachi,4.6,CA$40 for two,"Sushi, Japanese, Asian","Pacific Plaza, 1287-8888 Odlin Crescent, Richmond V6X 3Z8",+16042072882,300,292
5,Richmond,Kiriri Japanese Cuisine & Sushi Bar,4.3,CA$40 for two,"Sushi, Japanese, Asian","Blundell Plaza, 8780 Blundell Road, Richmond, Richmond V6Y 2N6",+17782974330,321,300
6,Central Richmond,Shanghai River Restaurant,4.3,CA$75 for two,"Chinese, Asian","110-7831 Westminster Highway, Richmond V6X",+16042338885,543,460
7,Central Richmond,HK BBQ Master,4.6,CA$25 for two,"Chinese, BBQ","4651 No 3 Road, Richmond, BC V6X 2C4, Canada, Richmond V6Y 1N3",+16042726568,345,154
8,Richmond,Deer Garden Signatures,4.3,CA$25 for two,"Chinese, Asian","Venezia Place, 2015-8580 Alexandra Road, Richmond V6X4B3",+16042789229,440,160
9,Central Richmond,Leisure Tea & Coffee,4.2,CA$30 for two,"Cafe, Coffee and Tea, Desserts","1110-8391 Alexandra Road, Richmond V6X 3W5",+16048219998,273,173
10,Richmond,Ninkazu Japanese Restaurant,3.8,CA$45 for two,"Sushi, Japanese, Asian","#205-4231 Hazelbridge Way, Richmond V6X 3L7 3L7",+16042799077,374,306
