,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,City of Langley,Olive Garden,3.9,CA$40 for two,Italian,"Riocan Langley Centre, 20080 Langley Bypass, Langley V3A 9J7",+16045143499,299,148
1,City of Langley,Ban Chok Dee Thai Cuisine-Langley,4.4,CA$45 for two,"Thai, Asian","20563 Douglas Crescent, Downtown Langley City, Langley V3A4B6",+17782783088,212,94
2,City of Langley,Luxe Restaurant,4.3,CA$45 for two,"Dim Sum, Cantonese, Chinese, Asian","Willow Tree Plaza, 19665 Willowbrook Drive, Langley V2Y",+16045308286,176,153
3,City of Langley,An Indian Affair,4.3,CA$50 for two,Indian,"Willow Tree Plaza, 146-19665 Willowbrook Drive, Langley V2Y1A6",+16045398114,181,111
4,City of Langley,Galini Greek Kouzina & Grill,4.2,CA$60 for two,"Greek, Mediterranean","101-19475 Fraser Highway, Langley V3S9A4",+16045302881,155,26
5,City of Langley,Sushi Mori,3.6,CA$50 for two,"Sushi, Japanese, Asian","Willow Tree Plaza, 160-19653 Willowbrook Drive, Langley V3S",+16045101538,113,77
6,City of Langley,Viva Mexico Restaurant Grill & Cantina,3.2,CA$40 for two,Mexican,"20505 Fraser Hwy, Langley V3A4G3",+16045327708,109,11
7,City of Langley,Pasta Polo & Brick Oven Pizza,3.6,CA$55 for two,"Pizza, Italian","Willow Tree Plaza, 19665 Willowbrook Drive, Langley V2Y",+16045325661,101,28
8,City of Langley,Shiraz Grill,3.9,CA$60 for two,"Italian, Iranian","20526 Fraser Highway, Langley V3A4G2",+16045101888,75,16
9,City of Langley,Seh-Mi Japanese Restaurant,3.9,CA$30 for two,"Sushi, Japanese, Asian","Valley Centre, 115-20151 Fraser Highway, Langley V3A4E4",+16045343662,76,55
10,Langley,Maru Japanese Restaurant,3.9,CA$25 for two,"Japanese, Sushi, Asian","Heritage Square, 20631 Fraser Hwy, Langley V3A4G5",+16045303511,80,18
11,City of Langley,Langley Vietnamese Cuisine,4.0,CA$25 for two,"Vietnamese, Asian","104-5521 203 Street, Langley, Langley V3A",+16045327767,87,23
12,City of Langley,Tokyo Sushi,3.8,CA$40 for two,"Sushi, Japanese, Asian","101-20486 64 Avenue, Langley V2Y 1N4",+16045304991,44,91
13,City of Langley,Donair Hut,3.9,CA$15 for two,"Middle Eastern, Vegetarian","20420 Fraser Highway, Langley, Langley V3A4G2",+16045148999,72,11
14,City of Langley,Pho 99 Vietnamese Noodle House,3.8,CA$30 for two,"Vietnamese, Asian","19533 Fraser Highway, Langley V3S9A4",+16045342699,64,48
15,City of Langley,Cielito Lindo Mexican Restaurant,3.9,CA$30 for two,Mexican,"20491 Fraser Highway, Langley, Langley V3A 4G6",+16045395222,69,31
16,City of Langley,Chili House Restaurant,3.9,CA$35 for two,"Hakka Chinese, Chinese, Fusion, Indian","Westbrook Centre, 19571 Fraser Highway, Langley V3S 6K7",+16045338987,53,36
17,City of Langley,Ashoka Indian Cuisine,3.9,CA$50 for two,Indian,"20530 Fraser Highway, Langley V3A4G2",+16045346344,77,11
18,City of Langley,Pho Rex,3.7,CA$30 for two,"Vietnamese, Asian","20248 Fraser Highway, Langley V3A4E4",+16045342298,53,17
19,City of Langley,Katana,3.8,CA$80 for two,"Steak, Japanese, Asian","19957 Willowbrook Drive, Langley V2Y",+16045335582,69,5
20,City of Langley,Montana's Cookhouse,3.7,CA$40 for two,"Canadian, BBQ, Steak, Grill","Riocan Centre, 20100 Langley Bypass, Langley V3A9J7",+16045326799,62,42
21,City of Langley,The Mongolie Grill,3.3,CA$30 for two,"Mongolian, Asian","Westbrook Centre, 19585 Fraser Highway, Langley V3S9A4",+16045320301,67,12
22,City of Langley,Milestones,3.4,CA$65 for two,"Canadian, Grill","20075 Langley Bypass, Langley City, Langley V3A 8R6",+16045149000,74,40
23,City of Langley,Townhall Public House,3.6,CA$55 for two,Bar Food,"101 - 19640 64th Avenue, Langley V2Y 1R3",+16045105102,51,29
24,City of Langley,Kimchi Palace Restaurant,4.0,CA$40 for two,"Sushi, Japanese, Korean, Asian","6019 196th Street, Surrey, Langley V3S 7L8",+16045309690,42,16
