,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Coquitlam,Jimoco Cafe & Pasta,4.5,CA$40 for two,Italian,"1046 Austin Avenue, Coquitlam V3K 3P3",+17783556730,391,131
1,Coquitlam,Sushi California,4.3,CA$25 for two,"Sushi, Japanese, Asian","501 North Road, Coquitlam V3J 1N7",+16049318284,577,196
2,Coquitlam,Kimbab Cheonguk,4.4,CA$20 for two,"Korean, Asian","341 N Road, Coquitlam, Coquitlam V3K 3V8",+16049360222,294,165
3,Coquitlam,Insadong Korean BBQ Seafood Restaurant,4.1,CA$30 for two,"Korean, Asian","301-403 North Road, Lougheed Village, Coquitlam V3K 3V9",+16049363778,409,249
4,Coquitlam,My Greek Taverna,4.4,CA$70 for two,"Greek, Mediterranean","946 Brunette Avenue, Coquitlam, Coquitlam V3K 1C9",+16045255351,300,95
5,Coquitlam,Cora Breakfast and Lunch,4.1,CA$30 for two,Diner,"Sunwood Square, 3025 Lougheed Highway, Coquitlam V3B6J6",+17782858577,207,107
6,Coquitlam,Jimmy's Place Restaurant,4.3,CA$30 for two,Diner,"Cariboo Centre, 435 North Road, Coquitlam V3K 3V9",+16049360779,139,51
7,Coquitlam,Seok Gi Si Dae,4.1,CA$40 for two,"Korean, Asian","4-602 Clarke Road, Coquitlam, Coquitlam V3J 3X6",+16049370330,147,64
8,Coquitlam,Cactus Club Cafe,4.1,CA$70 for two,Canadian,"101 Schoolhouse Street, Coquitlam V3K 6V9",+16047770440,147,81
9,Coquitlam,Matoi Sushi,4.3,CA$40 for two,"Sushi, Japanese, Asian","Sunwood Square, 3025 Lougheed Highway, Coquitlam V3B 6J6",+16044642778,169,141
10,Coquitlam,Hee Rae Deung,4.1,CA$40 for two,"Korean, Asian","435 North Road, Coquitlam V3K 3V9",+16049390649,148,113
11,Coquitlam,Townhall Public House,3.7,CA$55 for two,Bar Food,"925 Brunette Avenue, Coquitlam V3K 1C8 1C8",+16045262324,43,41
12,Coquitlam,Kulinarya,4.3,CA$30 for two,"Filipino, Asian","Coquitlam Square, 114-2918 Glen Drive, Coquitlam V3B 2P5",+17782856577,137,115
13,Coquitlam,Inno Bakery,4.1,CA$20 for two,Bakery,"In Market, 1053 Ridgeway Avenue, Coquitlam V3J7R4",+16049393636,55,5
14,Coquitlam,Choco Coo Cafe,3.4,for two,Coffee and Tea,"501 North Road, Metro Vancouver, Coquitlam V3K 6R4",+17783555888,71,154
15,Coquitlam,Caffe Divano,3.7,CA$20 for two,Cafe,"3003 Burlington Drive, Coquitlam V3B0B1",+16044743113,34,6
16,Coquitlam,Bubble World,3.2,CA$25 for two,"Cafe, Taiwanese, Coffee and Tea","#120-2991 Lougheed Highway, Coquitlam, Coquitlam V3B 6J6 6J6",+17789418681,15,81
17,Coquitlam,Rocco's Deli,3.4,CA$15 for two,"Canadian, Sandwich","228 Schoolhouse Street, Coquitlam V3K 6V7",+16047775759,7,13
18,Coquitlam,Giancarlo Italian Deli,2.9,CA$20 for two,Italian,"Inside Grocery Store, 1115 Austin Avenue, Coquitlam V3K3P4",+16049310556,11,3
19,Coquitlam,Mundy Park Bakery,3.7,CA$15 for two,Bakery,"Como Lake Village, 1924 Como Lake Avenue, Coquitlam V3J3P8",+16049361535,7,8
20,Coquitlam,Creekside Cafe,3.8,CA$20 for two,Cafe,"104-1368 United Boulevard, Coquitlam V3K6T1",+16045407629,6,4
21,Coquitlam,Jujube,-,for two,Asian,"501B North Road, Coquitlam",+16049315255,2,6
22,Coquitlam,Kim's Cafe,-,CA$25 for two,Cafe,"29-91 Golden Drive, Coquitlam",+16044642188,2,6
23,Coquitlam,Starbucks,3.0,CA$20 for two,Cafe,"Westwood Plateau Village, 1410 Parkway Boulevard, Coquitlam V3E3E6",+16045528449,6,16
24,Coquitlam,Corporate Deli Cafe,-,CA$15 for two,Cafe,"62 Fawcett Road, Coquitlam V3K6V5",+16045215999,3,3
25,Coquitlam,Sandwich Tray,-,CA$15 for two,"Cafe, Canadian, Sandwich","62 Fawcett Road, Coquitlam V3K 6V5",+16045215999,2,3
26,Coquitlam,Xiang Yuan Qiao,-,CA$25 for two,Chinese,"3030 Lincoln Ave #112, Coquitlam, Coquitlam",+16044741652,2,0
27,Coquitlam,Fuel Cafe,-,CA$20 for two,Cafe,"Hard Rock Casino, 2080 United Boulevard, Coquitlam V3K6W3",+16045236888,0,1
28,Coquitlam,Sharpie,-,for two,"Kebab, Iranian","St John's street, Metro Vancouver, Coquitlam V3H 2A8",+16045664222,0,0
29,Coquitlam,Triple O's,-,CA$25 for two,Fast Food,"Douglas College, 1250 Pinetree Way, Coquitlam V3B7Z4",+16047776256,0,12
30,Coquitlam,Sushi Town,3.6,CA$30 for two,"Sushi, Japanese","Creekside Plaza, 2773 Barnet Highway, Coquitlam V3B 1C2",+16045526156,276,81
31,Coquitlam,Bukchigo Jangguchigo,3.7,CA$45 for two,"Korean, Asian","341 North Road, Coquitlam V3K",+16049317400,101,37
32,Coquitlam,JOEY,4.2,CA$70 for two,"Canadian, Bar Food","550 Lougheed Highway, Coquitlam V3K 3S3",+16049393077,224,78
33,Coquitlam,Chada Thai Fine Cuisine,4.1,CA$40 for two,"Thai, Asian","107-2991 Lougheed Highway, Coquitlam V3B 6J6",+16044645300,139,50
34,Coquitlam,Ajuker Fried Chicken,3.8,CA$20 for two,"Korean, Asian","101-508 Clarke Road, Coquitlam V3J 7V6",+16049365527,81,95
35,Coquitlam,Legend House,3.8,CA$40 for two,"Chinese, Northern Chinese, Sichuan, Asian","140-1169 Pacific Street, Coquitlam V3B 0G2",+16044755222,84,126
