,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Downtown,Miku Restaurant,4.9,CA$95 for two,"Sushi, Japanese, Asian","200 Granville Street, Vancouver V6C 1S4",+16045683900,0,1201
1,Downtown,Chambar,4.6,CA$100 for two,"French, Middle Eastern","568 Beatty Street, Vancouver V6B 2L3",+16048797119,0,662
2,Downtown,La Taqueria,4.6,CA$25 for two,Mexican,"322 W Hastings Street, Vancouver V6B 1K6",+16045650511,0,120
3,Downtown,Cartems Donuterie,4.5,CA$15 for two,"Desserts, Cafe","534 W Pender Street, Vancouver V6B 1V3",+17787080996,672,333
4,Downtown,Gyu-Kaku Japanese BBQ,4.6,CA$70 for two,"Japanese, Asian","888 Nelson Street, Vancouver V6Z2R9",+16045583885,617,353
5,Downtown,Hawksworth Restaurant - Rosewood Hotel Georgia,4.5,CA$150 for two,"Pacific Northwest, Fusion","Rosewood Hotel Georgia, 801 W Georgia Street, Vancouver V6C 1P7",+16046737000,474,359
6,Downtown,Gotham Steakhouse & Cocktail Bar,4.4,CA$130 for two,Steak,"615 Seymour Street, Vancouver V6B 3K4",+16046058282,608,136
7,Downtown,YEW Seafood + Bar,4.3,CA$120 for two,"Seafood, Salad","Four Seasons Hotel, 791 West Georgia Street, Vancouver V6C 2T4",+16046924939,540,392
8,Downtown,Shizen Ya,4.6,CA$30 for two,"Sushi, Healthy Food","985 Hornby Street, Vancouver V6Z2E1",+16045680013,393,124
9,Downtown,Guu Garden,4.3,CA$80 for two,"Japanese, Asian, Tapas","888 Nelson Street, Vancouver V6Z2R9",+16048990855,535,531
10,Downtown,Basil Pasta Bar,4.1,CA$25 for two,Italian,"636 Davie Street, Vancouver V6B 2G5",+16045683106,345,90
11,Downtown,The Templeton,4.4,CA$40 for two,Diner,"1087 Granville Street, Vancouver V6Z 1L2",+16046854612,392,76
12,Downtown,Japadog,4.3,CA$20 for two,"Japanese, Fusion","530 Robson Street, Vancouver V6B 2B7",+16045691158,589,191
13,Downtown,The Warehouse,4.0,CA$30 for two,Bar Food,"989 Granville Street, Vancouver V6B2C9",+16046778080,445,114
14,Downtown,Fritz European Fry House,4.4,CA$25 for two,Fast Food,"718 Davie Street, Vancouver V6B 1B6",+16046840811,392,27
15,Downtown,Yamato Sushi,4.2,CA$20 for two,"Sushi, Japanese, Asian","616 Davie Street, Vancouver V6B 3N3",+16046825494,335,70
16,Downtown,Taishoken Ramen,3.9,CA$35 for two,"Ramen, Japanese, Asian","515 Abbott Street, Vancouver V6B2L2",+17787373805,305,197
17,Downtown,Nuba,4.3,CA$50 for two,"Lebanese, Middle Eastern","508 Davie Street, Vancouver V6B 3N9",+16046614129,319,68
18,Downtown,Viet Sub Vietnamese Cuisine,4.5,CA$20 for two,"Sandwich, Vietnamese, Asian","520 Robson Street, Downtown, Vancouver, Vancouver V6B2B7",+16045693340,309,51
19,Downtown,SalaThai Restaurant,4.3,CA$65 for two,"Thai, Asian","888 Burrard Street, Vancouver V6Z 1X9",+16046837999,362,144
20,Downtown,Chipotle Mexican Grill,4.1,CA$30 for two,"Mexican, Fast Food","818 Howe Street, Vancouver V6Z 1N4",+16046836394,356,75
21,Downtown,Hy's Steakhouse & Cocktail Bar,4.1,CA$150 for two,"Steak, Pacific Northwest","637 Hornby Street, Vancouver V6C 2G2",+16046837671,263,125
22,Downtown,Joyeaux Cafe & Restaurant,4.2,CA$30 for two,"Vietnamese, Asian","551 Howe Street, Vancouver V6C 2T8",+16046819168,269,99
23,Downtown,Faubourg,4.1,CA$20 for two,"Cafe, Desserts, French","769 Hornby Street, Vancouver V6C 3L2",+16042670769,228,202
24,Dowtown,Bacchus Restaurant and Lounge - Wedgewood Hotel,4.2,CA$75 for two,Pacific Northwest,"Wedgewood Hotel, 845 Hornby Street, Vancouver V6Z 1V1",+16046085319,234,137
25,Downtown,Gyoza Bar,2.8,CA$55 for two,"Japanese, Asian","622 West Pender Street, Vancouver V6B1V8",+16043365563,250,313
26,Coal Harbour,Five Sails - Pan Pacific Vancouver,4.4,CA$160 for two,"French, Pacific Northwest, Seafood","Pan Pacific Vancouver, 410-999 Canada Place, Vancouver V6C3T4",+16048442855,184,117
27,Downtown,Tsuki Sushi Bar,4.1,CA$50 for two,"Sushi, Japanese, Asian","509 Abbott Street, Vancouver V6B 6C1",+16045583805,165,79
28,Downtown,Trees Organic Coffee,4.1,CA$20 for two,"Cafe, Sandwich","450 Granville Street, Vancouver V6C1V4",+16046845022,262,78
29,Downtown,Hubbub,4.3,CA$25 for two,Sandwich,"859 Hornby Street, Vancouver V6Z 2E6",+16045683398,211,75
30,Downtown,Alpha Sushi Bar,4.1,CA$30 for two,"Sushi, Japanese, Asian","1265 Granville Street, Vancouver V6Z 1M5",+16046330355,158,98
31,Downtown,Dae Ji Pork Cutlet House,4.1,CA$35 for two,"Korean, Asian","1660 Robson Street,Vancouver, Vancouver V6G 1Y4",+16046771636,180,54
32,Downtown,The Mexican,4.3,CA$50 for two,Mexican,"1049 Granville Street, Vancouver V6Z1L4",+16045690955,142,59
33,Downtown,Cibo Trattoria,4.0,CA$100 for two,Italian,"Moda Hotel, 900 Seymour Street, Vancouver V6B 3L9",+16046029570,179,79
34,Downtown Vancouver,ARC Bar - Fairmont Waterfront,4.0,CA$50 for two,Canadian,"Fairmont Waterfront, 900 Canada Place, Vancouver V6C 3L5",+16046911818,126,207
35,Downtown,Ramen Gojiro,3.2,CA$30 for two,"Japanese, Ramen","501 Dunsmuir Street, Vancouver V6B 1Y4",+16046730918,128,165
36,Downtown,Top of Vancouver Revolving Restaurant,3.3,CA$90 for two,Canadian,"Harbour Centre, 555 West Hastings Street, Vancouver V6B 1M1",+16046692220,184,156
37,Downtown,Rogue Kitchen & WetBar,4.1,CA$80 for two,"Canadian, Grill","Waterfront Station, 601 West Cordova Street, Vancouver V6B1G1",+16046788000,285,106
38,Downtown,Mean Poutine,3.8,CA$20 for two,Fast Food,"718 Nelson Street, Vancouver V6Z 1L2",+16045684351,149,37
39,Downtown,Diva at the Met - The Metropolitan,4.1,CA$100 for two,Pacific Northwest,"The Metropolitan, 645 Howe Street, Vancouver V6C2Y9",+16046027788,167,106
40,Downtown,Hapa Izakaya,3.5,CA$55 for two,"Sushi, Japanese","909 West Cordova Street, Vancouver V6C 3L5",+16044204272,172,159
