,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,East Richmond,L.A. Chicken,4.7,CA$30 for two,Fast Food,"160-11780 Thorpe Road, Richmond V6X 1J5",+16042784737,406,74
1,Richmond,Tandoori Kona Restaurant,4.5,CA$35 for two,Indian,"170-11700 Cambie Road, Richmond V6V 1G5",+16042799259,438,83
2,East Richmond,CHOP Steakhouse & Bar,3.7,CA$95 for two,"Steak, Canadian, Pacific Northwest","10251 Saint Edwards Drive, Richmond V6X 0J3",+16042761180,263,282
3,Richmond,Continental Seafood Restaurant,3.9,CA$65 for two,"Dim Sum, Chinese, Asian","Cambie Plaza, 150-11700 Cambie Road, Richmond V6V1G5",+16042786331,115,276
4,East Richmond,Dai Jang Kum,4.0,CA$50 for two,"Korean, Asian","3088 Saint Edwards Drive, Richmond V6X 1N4",+16042440088,135,93
5,East Richmond,Sanpoutei Ramen,3.2,CA$25 for two,"Japanese, Ramen","4328 Number 3 Road, Suite 160, Richmond V6X 2C2",+16042851226,77,103
6,Richmond,Little Ongpin,4.1,CA$25 for two,"Chinese, Filipino, Asian","Delta Shopping Centre, 4093 Number 5 Road, Richmond V6V 1G5",+16042784667,109,139
7,Richmond,Pho TEN,4.1,CA$30 for two,"Vietnamese, Asian","Sands Plaza, 130-11080 Number 5 Road, Richmond V7A0A2",+16044419699,152,71
8,East Richmond,Cafe Loyal,3.8,CA$30 for two,"Chinese, Asian, Fast Food","101-11911 Bridgeport Road, Richmond V6X 1T5",+16044474911,129,131
9,East Richmond,IKEA Restaurant,3.9,CA$30 for two,Swedish,"Inside IKEA, 3320 Jacombs Road, Richmond V6V 3B1",+16048294530,150,132
10,East Richmond,The Keg,3.9,CA$90 for two,"Steak, Seafood","11151, 5 Road, Richmond British Columbia, Richmond V7A 4E7",+16042721399,119,130
11,Richmond,"Lotus, The Place for Pho Lovers",3.9,CA$40 for two,"Vietnamese, Asian","Delta Shopping Centre, 4131 Number 5 Road, Richmond V6X2V1",+17782971180,117,57
12,Richmond,Browns Socialhouse,4.0,CA$70 for two,Bar Food,"1020-11660 Steveston Highway, Richmond V7A 1N6",+16042753322,130,54
13,East Richmond,Kiyo Sushi,3.8,CA$50 for two,"Sushi, Japanese, Asian","11590 Cambie Road, Richmond V6V1G5",+16042141388,102,50
