,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Fairview,Suika,4.7,CA$65 for two,"Japanese, Asian, Tapas","1626 W Broadway, Vancouver V6J 1X6",+16047301678,0,1003
1,Fairview,Peaceful Restaurant,4.3,CA$40 for two,Chinese,"532 W Broadway, Suite 110, Vancouver V5Z 1E9",+16048799878,829,227
2,Fairview,"Cheesecake, etc.",4.2,CA$20 for two,"Desserts, Bakery","2141 Granville Street, Vancouver V6H 3E9",+16047347704,588,124
3,Fairview,Banana Leaf,4.4,CA$45 for two,"Malaysian, Asian","820 West Broadway, Vancouver V5Z 1J8",+16047316333,648,258
4,Fairview,Farmer's Apprentice,4.1,CA$100 for two,"Canadian, Pacific Northwest","1535 West 6th Avenue, Vancouver V6J 3G1",+16046202070,254,155
5,Fairview,Tojo's,4.1,CA$80 for two,Sushi,"1133 West Broadway, Vancouver V6H 1G1",+16048728050,363,225
6,Fairview,Rangoli,4.5,CA$40 for two,Indian,"1488 West 11th Avenue, Vancouver V6H 1L1",+16047365711,443,113
7,Fairview,Afghan Horsemen,4.2,CA$50 for two,"Middle Eastern, Afghan","202-1833 Anderson Street, Vancouver V6J 1H2",+16048735923,325,112
8,Fairview,Lin Chinese Cuisine,4.2,CA$50 for two,Chinese,"1537 W Broadway, Vancouver V6J 1W6",+16047339696,336,217
9,Fairview,Dynasty Seafood Restaurant,4.1,CA$65 for two,"Dim Sum, Chinese, Asian, Seafood","108-777 W Broadway, Vancouver V5Z4J7",+16048768388,211,278
10,Fairview,Heirloom Vegetarian,3.7,CA$80 for two,"Pacific Northwest, Healthy Food","1509 West 12th Avenue, Vancouver V6J 2E2",+16047332231,260,105
11,Fairview,Tomokazu Japanese Restaurant,4.0,CA$50 for two,"Sushi, Japanese","201-1128 West Broadway, Vancouver V6H 1G5",+16046770434,247,218
12,Fairview,Gyu-Kaku Japanese Barbecue,4.1,CA$50 for two,"BBQ, Japanese, Asian","Level 1, 201-950, West Broadway, Vancouver",+16045583898,128,246
13,Fairview,Benkei Ramen,3.7,CA$25 for two,Ramen,"545 W Broadway, Vancouver V5Z 0B4",+16045686178,208,99
14,Fairview,Shizen Ya,4.1,CA$30 for two,"Sushi, Healthy Food","1102 West Broadway, Vancouver 0 V6H 1G5",+16045693721,155,84
15,Fairview,Tropika,3.9,CA$65 for two,"Malaysian, Thai, Asian","2975 Cambie Street, Vancouver V5Z 2V7",+16048796002,214,97
16,Fairview,New India Buffet & Restaurant,3.5,CA$40 for two,Indian,"Broadway Centre, 805 West Broadway, Vancouver V5Z 1K1",+16048745800,169,179
17,Fairview,Seoul House Royal Korean Restaurant,3.7,CA$50 for two,Korean,"1215 West Broadway, Vancouver V6H 1G7",+16047399001,108,116
18,Fairview,Salmon n' Bannock,4.2,CA$40 for two,Canadian,"1128 West Broadway, Vancouver V6H 1G5",+16045688971,111,45
19,Fairview,Allegro Cafe,4.0,CA$20 for two,Cafe,"Inside Whole Foods Market, 510 West 8th Avenue, Vancouver V5Z1C6",+17783704210,155,92
20,Fairview,Ebisu,3.8,CA$55 for two,"Sushi, Japanese","12-601 West Broadway, Vancouver V5Z 4C2",+16048763388,112,208
21,Fairview,I Cafe,3.8,CA$45 for two,Hong Kong Style,"2525 Heather Street, Vancouver V5Z 3J2",+16046300238,138,82
22,Fairview,Milestones,3.6,CA$65 for two,"Canadian, Grill","2425 Cambie Street, Vancouver V5Z 4M5",+16046788488,138,153
23,Fairview,Portobello Ristorante,4.0,CA$60 for two,Italian,"1429 West Broadway, Vancouver V6H3G6",+16047340697,97,46
24,Fairview,Jitlada Thai Restaurant,3.9,CA$45 for two,Thai,"1459 West Broadway, Vancouver V6H 1H6",+16047389888,85,48
25,Fairview,Earls,3.9,CA$70 for two,Canadian,"1601 West Broadway, Vancouver V6J1X6",+16047365663,119,106
26,Fairview,Indian Roti Kitchen,4.1,CA$35 for two,Indian,"2961 Cambie Street, Vancouver V5Z 2V7",+16048763767,74,7
27,Fairview,Taste of Vietnam,3.6,CA$25 for two,"Vietnamese, Asian","1016 West Broadway, Fairview, Vancouver 0V6H 1E6",+16047308383,113,41
28,Fairview,Little Sheep Mongolian Hot Pot,3.7,CA$40 for two,"Mongolian, Asian","101-1788 West Broadway, Vancouver V6J 3J3",+16045634868,54,101
29,Fairview,Rogue Kitchen & WetBar,3.5,CA$80 for two,"Canadian, Grill","602 West Broadway, Vancouver",+16045689400,107,65
30,Fairview,Cactus Club Cafe,3.9,CA$70 for two,Canadian,"575 West Broadway, Vancouver V5Z 1E6",+16047146000,123,62
31,Fairview,Osaka Teppanyaki,3.7,CA$80 for two,"Japanese, Asian","102-1788 West Broadway, Vancouver V6J1Y2",+16047338258,74,10
32,Fairview,Ro Sushi,4.1,CA$30 for two,Sushi,"678 W Broadway Avenue, Fairview, Vancouver V5Z 1E9",+16048769899,93,28
33,Fairview,Apollonia Greek Restaurant,4.1,CA$55 for two,"Greek, Mediterranean","1830 Fir Street, Vancouver V6J",+16047369559,83,14
34,Fairview,Hokkaido Ramen Santouka,3.7,CA$30 for two,"Ramen, Japanese","558 W Broadway, Vancouver V5Z 1E9",+16045651770,55,105
35,Fairview,Branas Mediterranean Grill,3.9,CA$80 for two,"Greek, Italian, Mediterranean","617 Stamps Landing, Vancouver, Vancouver V5Z3Z1",+16045686707,74,14
36,Fairview,The Wicklow Pub,4.0,CA$50 for two,"Bar Food, British","610 Stamps Landing, Vancouver V5Z3Z1",+16048790821,86,38
37,Fairview,Original Joe's,3.1,CA$65 for two,"Burger, Bar Food","2525 Cambie Street, Vancouver V5Z 3Y6",+16044345636,95,36
38,Fairview,The Stable House Bistro,3.8,CA$65 for two,French,"1520 West 13th Avenue, Vancouver V6J 2G4",+16047361520,42,21
39,Fairview,Sushi Van,3.9,CA$45 for two,"Sushi, Japanese, Asian","2566 Granville Street, Vancouver V6H 3G7",+16047399440,72,41
40,Fairview,Bashu Sichuan Restaurant,3.2,CA$35 for two,"Dim Sum, Sichuan, Chinese, Asian","205-1668 West Broadway, Vancouver V6J",+16047395888,22,101
41,Fairview,Max's Bakery & Delicatessen,3.5,CA$25 for two,"Deli, Bakery","3105 Oak Street, Vancouver",+16047334838,79,39
42,Fairview,Speakeasy,2.6,CA$60 for two,Bar Food,"901 West Broadway, Vancouver V5Z1K3",+16045584100,85,8
43,Fairview,Q Q Sushi,3.3,CA$25 for two,"Sushi, Japanese","1640 West Broadway, Vancouver V6J",+16045689018,75,9
44,Fairview,Szechuan Chili Restaurant,4.0,CA$45 for two,"Chinese, Asian","Gold Plaza, 804 West 6th Avenue, Vancouver V5Z",+16048743737,71,7
45,Fairview,Sushi Dragon,3.7,CA$35 for two,"Sushi, Japanese, Asian","614 West Broadway, Vancouver V5Z 1G1",+16048791889,46,19
46,Fairview,B-Bin,3.8,CA$45 for two,Sushi,"3093 Oak Street, Vancouver V6H 2K8",+16045688215,40,14
47,Fairview,Fortune Garden,3.3,CA$70 for two,"Chinese, Asian","1475 West Broadway, Vancouver V6H1H6",+16047366868,80,4
48,Fairview,Chatime,3.4,CA$20 for two,"Bubble Tea, Beverages","1545 West Broadway, Vancouver",+17783797711,45,51
49,Fairview,Mahony & Sons,3.0,CA$70 for two,"Bar Food, Irish","601 Stamps Landing, Vancouver V5Z3Z1",+16048760234,42,42
50,Fairview,The Marquis,3.7,CA$60 for two,Bar Food,"2666 Granville Street, Vancouver V6H 3H8",+16045680670,71,10
51,Fairview,Yanaki Sushi,4.1,CA$45 for two,"Sushi, Japanese, Asian","Gold Plaza, 816 West 6th Avenue, Vancouver V5Z",+16047085006,57,12
52,Fairview,Zaccary's Pizza,4.0,CA$25 for two,"Pizza, Fast Food","3150 Oak Street, Vancouver",+16047371933,49,4
53,Fairview,Shanghai Lu Restaurant,3.1,CA$45 for two,"Chinese, Shanghai, Dim Sum, Asian","705 West Broadway, Vancouver V5Z 1G8",+16048739147,18,75
54,Fairview,Masa Japanese,3.3,CA$30 for two,Sushi,"1418 West Broadway, Vancouver V6B 1R3",+16047320112,31,79
55,Fairview,Boston Pizza,3.2,CA$45 for two,"Pizza, Bar Food","190-1333, West Broadway, Vancouver, Vancouver V6H 4C1",+16047302822,55,43
56,Fairview,Grapes & Soda,3.6,CA$50 for two,Pacific Northwest,"1537 West 6th Avenue, Vancouver V6J",+16043362456,16,28
57,Fairview,Kisokoma,3.2,CA$40 for two,Sushi,"Broadway Centre, 112-805 West Broadway, Vancouver V5Z1K1",+16048751117,32,40
58,Fairview,New Sun Szechuan Restaurant,3.9,CA$30 for two,"Chinese, Asian","2925 Cambie Street, Vancouver 0V5Z 2V7",+16048761277,30,4
