,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Gastown,Meat & Bread,4.7,CA$30 for two,Sandwich,"370 Cambie Street, Vancouver V6B 1H7 1H7",Not available for this place,0,326
1,Gastown,L'Abattoir,4.5,CA$100 for two,"French, Pacific Northwest","217 Carrall Street, Vancouver V6B2J2",+16045681701,797,532
2,Gastown,Nuba,4.5,CA$50 for two,"Lebanese, Middle Eastern","207 West Hastings Street, Vancouver V6B 2N4",+16046881655,0,191
3,Gastown,Tuc Craft Kitchen,4.5,CA$70 for two,"Pacific Northwest, Canadian","60 West Cordova Street, Vancouver V6B1C9",+16045598999,489,270
4,Gastown,Catch 122,4.3,CA$65 for two,Canadian,"122 W Hastings Street, Vancouver V6B1G8",+16047313474,567,379
5,Gastown,Alibi Room,4.6,CA$70 for two,"Canadian, Bar Food","157 Alexander Street, Vancouver V6A 1B8",+16046233383,623,106
6,Gastown,Nicli Antica Pizzeria,4.5,CA$70 for two,"Pizza, Italian","62 E Cordova Street, Vancouver V6A 1K3",+16046696985,541,170
7,Gastown,Salt Tasting Room,4.2,CA$50 for two,Tapas,"45 Blood Alley, Vancouver V6B 1A4",+16046331912,629,102
8,Gastown,Guu Otokomae,4.5,CA$60 for two,"Japanese, Asian, Tapas","105-375 Water Street, Vancouver V6B 1E1",+16046858682,589,318
9,Gastown,Soft Peaks Ice Cream,3.6,CA$15 for two,"Ice Cream, Desserts","25 Alexander Street, Vancouver V6A 1B2",+16045592071,399,253
10,Gastown,Revolver,4.5,CA$20 for two,Cafe,"325 Cambie Street, Vancouver V6B1H7",+16045584444,336,104
11,Gastown,PiDGiN,4.1,CA$70 for two,"French, Asian Fusion","350 Carrall Street, Vancouver V6B 2J3",+16046209400,284,363
12,Gastown,Save On Meats,4.2,CA$35 for two,"Diner, Canadian","43 West Hastings Street, Vancouver V6B 1G4",+16045693568,478,143
13,Gastown,Pourhouse Restaurant,4.4,CA$75 for two,Canadian,"162 Water Street, Vancouver V6B 1B2",+16045687022,373,125
14,Gastown,Wildebeest,3.9,CA$80 for two,"Grill, Pacific Northwest","120 West Hastings Street, Vancouver V6B1G8",+16046876880,314,240
15,Gastown,Six Acres,4.4,CA$65 for two,American,"203 Carrall Street, Vancouver V6B 2J2",+16044880110,291,58
16,Gastown,Purebread,4.3,CA$20 for two,"Bakery, Cafe","159 West Hastings Street, Vancouver V6B1H5",+16045638060,221,205
17,Gastown,La Casita,4.0,CA$55 for two,Mexican,"101 West Cordova Street, Vancouver V6B 5A7",+16046462444,277,486
18,Gastown,Steamworks Brew Pub,3.9,CA$75 for two,"Canadian, Bar Food","The Landing, 375 Water Street, Vancouver V6B 5C6",+16046892739,512,99
19,Gastown,Tacofino,3.9,CA$50 for two,Mexican,"15 Blood Alley, Vancouver V6B1C8",+16048997907,202,209
20,Gastown,Brioche,4.2,CA$25 for two,"Cafe, Italian","401 West Cordova Street, Vancouver V6B 1E5",+16046824037,259,117
21,Gastown,The Sardine Can,4.2,CA$65 for two,"Tapas, Spanish","26 Powell Street, Vancouver V6A 1E7",+16045681350,172,101
22,Gastown,Jules Casual French Bistro,4.0,CA$80 for two,French,"216 Abbott Street, Vancouver V6B 1B2",+16046690033,235,63
23,Gastown,The Flying Pig,3.9,CA$80 for two,"Canadian, Seafood, Bar Food","102 Water Street, Vancouver V6B 1B2",+16045597968,256,133
24,Gastown,Peckinpah,3.9,CA$50 for two,BBQ,"2 Water Street, Vancouver V6B 1B2",+16046815411,286,61
25,Gastown,The Irish Heather,4.1,CA$70 for two,"Bar Food, Irish","210 Carrall Street, Vancouver V6B 2J2",+16046889779,275,55
26,Gastown,The Old Spaghetti Factory,3.9,CA$50 for two,Italian,"53 Water Street, Vancouver V6B 1A1",+16046841288,275,123
27,Gastown,The Diamond,4.0,CA$80 for two,"Bar Food, Tapas, Mexican","6 Powell Street, Vancouver V6B 1G7",+16045688272,201,39
28,Gastown,Lost + Found Cafe,4.0,CA$30 for two,"Cafe, Desserts","33 West Hastings Street, Vancouver V6B 1G4",+16045597444,95,97
29,Gastown,Deacon's Corner,4.0,CA$35 for two,"Burger, Diner","101 Main Street, Vancouver V6A 2S5",+16046841555,192,80
30,Gastown,Bauhaus Restaurant,3.9,CA$180 for two,German,"1 West Cordova Street, Vancouver V6B 2J2",+16049741147,74,202
31,Gastown,Cadeaux Bakery,4.0,CA$20 for two,"Bakery, Desserts, Coffee and Tea","172 Powell Street, Vancouver V6A 1G1",+16046088889,85,65
32,Gastown,Water Street Café,3.9,CA$80 for two,"Italian, Seafood","300 Water Street, Vancouver V6B 1B6",+16046892832,205,106
33,Gastown,Timbertrain Coffee Roasters,4.1,CA$15 for two,Cafe,"311 West Cordova Street, Vancouver V6B 4K2",+16043613223,118,57
34,Gastown,Rodney's Oyster House,4.0,CA$60 for two,Seafood,"52 Powell Street, Vancouver V6A1E7",+16046852005,129,84
