,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Grandview,Kishimoto Japanese Kitchen & Sushi Bar,4.9,CA$40 for two,"Sushi, Japanese","2054 Commercial Drive, Vancouver V5N 4A9",+16042555550,902,493
1,Grandview,Via Tevere Pizzeria,4.7,CA$60 for two,"Italian, Pizza","1190 Victoria Drive, Vancouver V5L 4G5",+16043361803,431,153
2,Grandview,La Mezcaleria,4.3,CA$60 for two,"Mexican, Latin American","1622 Commercial Drive, Vancouver V5L3Y4",+16045598226,427,157
3,Grandview,Havana,4.1,CA$50 for two,Cuban,"1212 Commercial Drive, Vancouver V5L 3X4",+16042539119,493,119
4,Grandview,Tacofino Commissary,4.3,CA$40 for two,Mexican,"2327 East Hastings Street, Vancouver V5L 1V6",+16042538226,326,146
5,Grandview,Famoso Neapolitan Pizzeria,4.2,CA$65 for two,"Italian, Pizza","1380 Commercial Drive, Vancouver V5L 3X6",+16042512292,306,176
6,Grandview,BierCraft Tap and Tapas Bar,4.2,CA$70 for two,"Canadian, Bar Food","1191 Commercial Drive, Vancouver V5L 3X2",+16042542437,360,84
7,Grandview,Memphis Blues Barbeque House,4.3,CA$35 for two,BBQ,"1342 Commercial Drive, Vancouver V5L 3X6",+16042152599,392,59
8,Grandview,Bistro Wagon Rouge,4.1,CA$80 for two,French,"1869 Powell Street, Vancouver V5L 1H9",+16042514070,94,64
9,Grandview,Sula Indian Restaurant,4.3,CA$65 for two,Indian,"1128 Commercial Drive, Vancouver V5L 2N1",+16042151130,233,159
10,Grandview,Marcello Pizzeria & Restaurants,3.8,CA$70 for two,"Italian, Pizza","1404 Commercial Drive, Vancouver V5L 3X9",+16042157760,335,87
11,Grandview,Tatsu Japanese Bistro,4.3,CA$50 for two,"Sushi, Japanese, Asian","1441 Commercial Drive, Vancouver V5L 3X8",+16045582285,195,141
12,Grandview,Uncle Fatih's Pizza,4.2,CA$25 for two,"Pizza, Fast Food","1685 East Broadway, Vancouver V5N1V9",+16047070744,354,22
13,Grandview,Lombardo's Ristorante and Pizzeria,4.2,CA$55 for two,"Italian, Pizza","Il Mercato, 120-1641 Commercial Drive, Vancouver V5L3Y2",+16042512240,220,61
14,Grandview,Song Huong Vietnamese Restaurant,4.1,CA$35 for two,"Vietnamese, Asian","1613 Nanaimo Street, Vancouver V5L 4T9",+16045681196,164,123
15,Grandview,The Cannibal Cafe,3.8,CA$55 for two,"Burger, Bar Food","1818 Commercial Drive, Vancouver V5N 4A5",+16045584199,142,88
16,Grandview,Dolce Amore,4.4,CA$15 for two,Desserts,"1588 Commercial Drive, Vancouver, Vancouver V5L 3Y2",+16042580006,172,52
17,Grandview,St. Augustine's,3.9,CA$65 for two,"Bar Food, Pizza","2360 Commercial Drive, Vancouver V5N1N3",+16045691911,230,61
18,Grandview,Kin Kao Thai Kitchen,3.8,CA$45 for two,"Thai, Asian","903 Commercial Drive, Vancouver",+16045581125,97,101
19,Grandview,The Reef,3.9,CA$40 for two,Caribbean,"1018 Commercial Drive, Vancouver V5L 2N1",+16045685375,236,58
20,Grandview,Falconetti's East Side Grill,3.8,CA$55 for two,Bar Food,"1812 Commercial Drive, Vancouver V5N 4A5",+16042517287,193,43
21,Grandview,Jamjar,3.9,CA$50 for two,"Lebanese, Middle Eastern","2280 Commercial Drive, Vancouver V5N4B5",+16042523957,105,102
22,Grandview,Cafe Deux Soleils,3.9,CA$30 for two,"Canadian, Vegetarian","2096 Commercial Drive, Vancouver V5N4B2",+16042541195,185,23
23,Grandview,Siddhartha's Indian Kitchen,3.8,CA$50 for two,Indian,"2066 Commercial Drive, Vancouver V5N",+16042157556,165,104
24,Grandview,Harambe Ethiopian Restaurant,4.0,CA$30 for two,"Ethiopian, African","2149 Commercial Drive, Vancouver V5N4B8",+16042161060,139,41
25,Grandview,Rinconcito Salvadoreno Restaurant,3.8,CA$50 for two,"Salvadorean, Latin American","2062 Commercial Drive, Vancouver V5N 4A9",+16048792600,141,46
26,Grandview,Cindys Palace,3.6,CA$50 for two,"Dim Sum, Chinese, Asian","1796 Nanaimo Street, Vancouver V5N 5B9",+16042536183,112,166
27,Grandview,Carthage Cafe,3.9,CA$75 for two,"French, Mediterranean","1851 Commercial Drive, Vancouver V5N",+16042150661,123,29
28,Grandview,Fets Whisky Kitchen,4.0,CA$75 for two,"Southern, Burger","1230 Commercial Drive, Grandview, Vancouver V5L3X2",+16042557771,111,78
29,Grandview,X-Site Grill & Bistro,4.0,CA$40 for two,"Canadian, Mexican, Bar Food","2270 East Hastings Street, Vancouver V5L",+16045692220,132,35
30,Grandview,Pelican Seafood Restaurant,4.1,CA$35 for two,"Chinese, Asian","1895 East Hastings Street, Vancouver V5L 1T3",+16042513395,114,107
31,Grandview,On Lok Restaurant & Won-Tun House,3.8,CA$30 for two,"Chinese, Asian","2010 E Hastings Street, Vancouver V5L 4L5",+16042533856,136,48
32,Grandview,Sweet Cherubim Restaurant,3.5,CA$30 for two,"Cafe, Healthy Food, Bakery","1105 Commercial Drive, Vancouver V5L2N1",+16042530969,121,32
33,Grandview,Sake Maki Japanese Restaurant,4.0,CA$35 for two,"Sushi, Japanese, Asian","1414 Commercial Drive, Vancouver V5L 3X9",+16045683632,102,58
34,Grandview,Fire Pizza,4.0,CA$20 for two,Pizza,"1918 Commercial Drive, Vancouver V5N4A7",+16042535607,111,32
35,Grandview,Naruto Sushi,3.8,CA$40 for two,"Sushi, Japanese, Asian","2763 Commercial Drive, Grandview, Vancouver, Vancouver V5N 4C5",+16045583858,70,33
36,Grandview,Phoenix Garden,3.1,CA$40 for two,"Dim Sum, Chinese, Asian","2425 Nanaimo Street, Vancouver V5N 5E5",+16045688268,72,138
37,Grandview,Cafe Calabria,3.7,CA$25 for two,"Cafe, Italian","1745 Commercial Drive, Vancouver",+16042537017,121,48
38,Grandview,Tangent Cafe,3.7,CA$55 for two,"Canadian, Malaysian","2095 Commercial Drive, Vancouver V5N 4B1",+16045584641,79,19
39,Grandview,Arriva Ristorante Italiano,4.1,CA$65 for two,Italian,"1537 Commercial Drive, Vancouver V5L3Y1",+16042511177,81,11
40,Grandview,Volcano Sushi and Grill,3.7,CA$25 for two,"Sushi, Japanese, Asian","1991 East Hastings Street, Vancouver V5L",+16045669918,75,41
41,Grandview,Addis Cafe Ethiopian Restaurant,3.8,CA$30 for two,Ethiopian,"2017 Commercial Drive, Vancouver, Vancouver V5N4B1 4A9",+16042541929,68,21
42,Grandview,The Libra Room,3.7,CA$80 for two,"Tapas, Burger, Seafood","1608 Commercial Drive, Vancouver V5L",+16042553787,101,13
43,Grandview,The Charlatan,3.8,CA$55 for two,Bar Food,"1447 Commercial Drive, Vancouver V5L",+16042532777,102,16
44,Grandview,Cafe Du Soleil,3.8,CA$30 for two,Cafe,"1393 Commercial Drive, Vancouver V5L 3X6",+16042541145,82,17
45,Grandview,Zawa Restaurant,3.3,CA$65 for two,Bar Food,"920 Commercial Drive, Vancouver V5L3W7",+16042550470,89,37
46,Grandview,Sushi Ville,3.0,CA$45 for two,"Sushi, Japanese, Asian","2068 Commercial Drive, Vancouver V5N 4B2",+16045594611,62,56
47,Grandview,JJ Bean,4.1,CA$20 for two,Cafe,"2206 Commercial Drive, Vancouver V5N4B6",+16042543723,107,16
48,Grandview,Tandoori Palace,4.0,CA$35 for two,Indian,"1439 Commercial Drive, Vancouver V5L",+16042548452,87,12
49,Grandview,Trocadero Pizza & Steak House,3.8,CA$70 for two,"Greek, Steak","2411 Nanaimo Street, Vancouver V5N 5E5",+16042538714,63,44
50,Grandview,Koko,4.0,CA$80 for two,"Japanese, Sushi, Asian","2053 E. Hastings Street, Vancouver, Vancouver V5L",+16042511328,52,28
51,Grandview,Red Burrito,3.4,CA$25 for two,"Mexican, Fast Food","1700 Commercial Drive, Vancouver V5N4A3",+16047070877,98,10
52,Grandview,Turk's Coffee Bar,4.0,CA$15 for two,Cafe,"1276 Commercial Drive, Vancouver V5L3X2",+16042555805,70,32
53,Grandview,Parallel 49 Brewing Company,3.7,CA$25 for two,Finger Food,"1950 Triumph Street, Vancouver",+16045582739,38,47
54,Grandview,Ginger Sushi,3.8,CA$30 for two,"Sushi, Japanese, Asian","1437 Commercial Drive, Vancouver V5L3Y2",+16042555220,62,29
55,Grandview,Kojima Sushi,3.8,CA$40 for two,"Sushi, Japanese, Asian","1836 Commercial Drive, Vancouver V5N4A5",+16042166799,77,9
56,Grandview,Vera's Burger Shack,3.9,CA$30 for two,"Burger, Fast Food","1438 Commercial Drive, Vancouver V5L3Y2",+16042548372,78,31
57,Grandview,Sunrise Pizza & Steakhouse,4.0,CA$45 for two,"Steak, Greek, Pizza","949 Commercial Drive, Vancouver V5L3W7",+16042512411,69,5
58,Grandview,Windjammer Fish and Chips Restaurant,3.6,CA$30 for two,Fish and Chips,"937 Commercial Drive, Vancouver V5L3W7",+16048766446,55,38
59,Grandview,Pizza Garden,3.9,CA$25 for two,Pizza,"1042 Commercial Drive, Vancouver V5L 3W9",+16045690448,69,21
60,Grandview,IPOH Asian House,3.1,CA$35 for two,"Chinese, Malaysian, Asian","2128 East Hastings Street, Vancouver V5L 1V2",+16042513322,35,86
61,Grandview,Best Falafel,3.6,CA$20 for two,"Middle Eastern, Fast Food","2013 Commercial Drive, Vancouver V5N",+16042519444,46,25
62,Grandview,Cabrito,3.4,CA$50 for two,"Tapas, Spanish","2270 Commercial Drive, Vancouver V5N 4B5",+16046207636,19,43
63,Grandview,Britannia Sushi,2.5,CA$40 for two,"Sushi, Japanese, Asian","1016 Commercial Drive, Vancouver V5L 3W9",+16042511155,60,6
64,Grandview,Megabite Pizza,3.6,CA$20 for two,"Pizza, Fast Food","2440 Commercial Drive, Vancouver V5N4B9",+16048748758,58,26
65,Grandview,Miyako Sushi,3.0,CA$35 for two,"Sushi, Japanese, Asian","2341 East Hastings Street, Vancouver V5L 1V6",+16042559411,37,26
66,Grandview,The Drive Coffee Bar,3.4,CA$15 for two,Coffee and Tea,"1670 Commercial Drive, Vancouver V5L 3Y4",+16042538224,12,61
67,Grandview,Tio Pepe's,2.4,CA$50 for two,"Mexican, Latin American","1134 Commercial Drive, Vancouver V5L3X2",+16042548999,47,2
68,Grandview,Yook Korean Grilled BBQ & Bistro,3.2,CA$25 for two,"Korean, BBQ","2408 Nanaimo Street, Vancouver V5N 5E4",+16044289292,16,47
69,Grandview,Portuguese Club of Vancouver,3.9,CA$55 for two,Portuguese,"1144 Commercial Drive, Vancouver V5L 3X2",+16042512042,23,3
70,Grandview,Van Dragon Chinese Restaurant,3.1,CA$40 for two,"Chinese, Asian","2163 East Hastings Street, Vancouver V5L1V2",+16042550680,20,63
71,Grandview,Sopra Sotto Pizzeria,3.5,CA$35 for two,"Italian, Pizza","1510 Commercial Dr, Grandview, Vancouver",+16042517586,13,23
72,Grandview,4 Brothers' Pizza,3.1,CA$15 for two,"Pizza, Fast Food","1914 Commercial Drive, Vancouver V5N 4A7",+16042150111,20,19
73,Grandview,Buddha's Orient Express,3.0,CA$20 for two,"Chinese, Asian, Fast Food","2450 Commercial Drive, Vancouver V5N 4B9",+16048735885,32,13
74,Grandview,Hirado Sushi,3.3,CA$30 for two,"Sushi, Japanese, Asian","1431 Commercial Drive, Grandview, Vancouver V5L 3X8",+16042559050,20,18
75,Grandview,Babylon Cafe,3.7,CA$20 for two,Mediterranean,"1605 Commercial Drive, Vancouver V5L3Y2",+16045638487,21,13
76,Grandview,Church's Chicken,2.8,CA$20 for two,Fast Food,"2304 East Hastings Street, Vancouver V5L1V6",+16042546346,31,6
77,Grandview,Joe's Cafe,3.3,CA$25 for two,Cafe,"1150 Commercial Drive, Vancouver V5L",+16042551046,22,7
78,Grandview,Subway,2.5,CA$25 for two,Fast Food,"2079 Dundas Street, Vancouver V5L1J4",+16047391996,30,13
79,Grandview,Bomber Brewing,3.1,CA$25 for two,Finger Food,"1488 Adanac Street, Vancouver V5L2C3",+16044287457,18,10
80,Grandview,Spade,3.5,CA$10 for two,Cafe,"1858 Commercial Dr, Vancouver, BC V5N 4A5, Canada, Vancouver",+16044284092,7,15
81,Grandview,Pepinos Spaghetti House,3.3,CA$60 for two,Italian,"631 Commercial Dr, Grandview, Vancouver, Vancouver",+16042545633,7,11
82,Grandview,Nonna's Table Cafe & Pizzeria  - Waldorf Hotel,2.8,CA$50 for two,"Italian, Pizza","Waldorf Hotel, 1489 East Hastings Street, Vancouver V5L 1S4",+16042537141,9,12
83,Grandview,Golden Spring Restaurant,3.2,CA$25 for two,"Chinese, Seafood","2461 Nanaimo Street, Vancouver V5N 5E5",+16042589018,6,54
84,Grandview,77K Freeze,2.8,CA$10 for two,"Cafe, Desserts","2240 Commercial Drive, Vancouver, Vancouver V5N 5P9",+16048682430,8,12
85,Grandview,Pho Win,3.2,for two,Vietnamese,"2138 East Hastings Street, Vancouver V5L 1V2",+17783799078,17,6
86,Grandview,My BBQ Hut,3.5,CA$25 for two,"BBQ, Mexican, Mediterranean, Afghan","1678 Commercial Drive, Vancouver V5L3Y2",+16045682699,16,3
87,Grandview,The Princeton Pub & Grill,2.5,CA$50 for two,Bar Food,"1901 Powell Street, Vancouver V5L1J2",+16042536645,16,2
88,Grandview,Caffe Roma,2.9,CA$65 for two,Italian,"1510 Commercial Drive, Vancouver V5L3Y2",+16042517586,12,11
89,Grandview,Waves Coffee,3.3,CA$20 for two,Cafe,"1858 Commercial Drive, Vancouver V5N",+16042559283,17,22
90,Grandview,A&W,2.6,CA$20 for two,Fast Food,"101-1715 East Broadway, Vancouver V5N4B8",+16048721532,15,6
91,Grandview,All Basha,3.5,CA$30 for two,"Middle Eastern, Kebab","1399 Commercial Drive, Vancouver V5L2T6",+16048894476,12,8
92,Grandview,Phoever Fresh,3.0,CA$35 for two,"Vietnamese, Asian, Bubble Tea","1179 Commercial Drive, Vancouver V5L3X2",+16045590889,5,11
