,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Guildford,Tengoku Sushi,3.6,CA$45 for two,"Sushi, Japanese, Asian","10194 152 Street, Surrey V3R8X8",+16045849787,156,166
1,Guildford,Seoul Grill House,3.7,CA$50 for two,"Korean, Asian","15155 101st Avenue, Surrey V3R 7V4",+16045888292,84,244
2,Guildford,Guildford Station Pub,4.3,CA$50 for two,Bar Food,"10176154 Street, Surrey V3R 4J7",+16045822800,199,35
3,Guildford,Akasaka Japanese Restaurant,4.0,CA$50 for two,"Sushi, Japanese, Korean, Asian","15110-101 Avenue, Surrey V3R 7V4",+16045881244,153,113
4,Guildford,Lee Yuen Seafood Restaurant,4.1,CA$40 for two,"Seafood, Asian","14755 104th Avenue, Surrey, Surrey V3R 6S4",+16045831399,155,114
5,Guildford,Hanako Japanese Restaurant,4.3,CA$40 for two,"Sushi, Japanese, Asian","15135, 101 Avenue, Suite 205, Surrey V3R 7Z1",+16045828833,143,73
6,Guildford,Texx Big Burger,4.2,CA$25 for two,Burger,"14783 108th Avenue, Surrey V3R1V9",+16045880093,153,27
7,Guildford,Malaysian Hut Restaurant,4.1,CA$30 for two,"Malaysian, Asian","14727 108th Avenue, Surrey V3R 1V8",+16045881718,85,55
8,Guildford,Bubble World,3.8,CA$30 for two,"Bubble Tea, Beverages, Asian","137-10090 152nd Street, Surrey V3R 8X8",+16045853399,149,108
9,Guildford,Boom Beer,4.0,CA$50 for two,"Korean, Asian","15155 101 Avenue, Suite 101, Guildford Town Centre, Surrey V3R7V4",+16045803553,87,75
10,Guildford,Mek's Delight,4.0,CA$30 for two,"Malaysian, Thai, Asian","14910 104 Avenue, Surrey V3R",+16045882338,112,36
11,Guildford,Jin Soo Sung Chan Korean Restaurant,3.9,CA$50 for two,"Korean, Asian","10312 152A Street, Surrey, Surrey V3R",+16044983177,64,77
12,Guildford,Big Chicken Town,3.6,CA$35 for two,"Korean, Asian","130-15280 101st Avenue, Surrey V3R8X8",+16044965007,74,40
13,Guilford,Sushi Zen,4.1,CA$25 for two,"Sushi, Japanese, Asian","Riverside Heights, 14839 108 Avenue, Surrey V3R1W1",+16049302949,93,32
14,Guildford,Donair Affair,4.0,CA$20 for two,"Kebab, Middle Eastern","10786 148 Street, Surrey V3R3X6",+16045843839,120,9
15,Guildford,Pho Tau Bay,4.1,CA$35 for two,"Vietnamese, Asian","10782 148 Street, Surrey V3R3Y3",+16045851833,90,39
16,Guildford,Sabai Thai Restaurant,4.0,CA$45 for two,"Thai, Asian","10391 150th Street, Surrey V3R 4B1",+16045889819,101,23
17,Guildford,Guildford Sushi House,3.8,CA$30 for two,"Sushi, Japanese, Asian","10330 152 Street, Surrey V3R 4G8",+16045888620,96,33
18,Guilford,Red Robin Gourmet Burgers and Brews,3.6,CA$30 for two,"Burger, Canadian","10237 152 St, Surrey, Surrey V3R 7C1",+16049302415,81,62
19,Guilford,Milestones,2.8,CA$65 for two,"Canadian, Grill","10355 152nd St, Surrey V3R 7C1",+16045800600,40,135
20,Guildford,Fresh Restaurant and Lounge - Sheraton Vancouver Guildford Hotel,3.5,CA$90 for two,Pacific Northwest,"Sheraton Vancouver Guildford Hotel, 15269 104th Avenue, Surrey V3R1N5",+16045876127,30,83
21,Guildford,Maguro Japanese Restaurant,3.8,CA$35 for two,"Sushi, Japanese, Asian","Impact Plaza, 141-10090 152nd Street, Surrey V3R8X8",+16045850054,61,35
22,Guildford,Chui Hong Korean Chinese Restaurant,3.9,CA$35 for two,"Chinese, Korean, Asian","105-15976 108th Avenue, Surrey V4N5V6",+16045818809,35,48
23,Guildford,Sanhao BBQ Delight,3.5,CA$35 for two,"Chinese, Asian","Guildford Towngate, 1-15138 100th Avenue, Surrey V3R0J8",+16044983288,45,33
24,Guildford,Baselines Pub,3.8,CA$55 for two,Bar Food,"8233 166th Street, Surrey V4N5R8",+16045766501,58,37
25,Guildford,Famoso Neapolitan Pizzeria,3.1,CA$65 for two,"Italian, Pizza","1001-10355 152 Street, Surrey V3R 7C1",+17783955541,42,52
26,Guildford,The Taphouse,2.7,CA$75 for two,"Bar Food, Canadian","15330 102A Avenue, Surrey",+16045838828,58,20
27,Guildford,Hong Ma No Korean Restaurant,3.8,CA$40 for two,"Chinese, Korean, Asian","Guildford Place, 10330 152 Street, Surrey V3R4G8",+16046340111,52,23
28,Guildford,Jade Valley Chinese Restaurant,4.0,CA$30 for two,"Chinese, Asian","Impact Plaza, 149-10090 152nd Street, Surrey V3R 8X8",+16045882345,52,17
29,Guildford,Palmyra Mediterranean Grill,3.9,CA$20 for two,Mediterranean,"167-10020 152 Street, Surrey, Surrey V3R 8X8",+16044960448,47,22
