,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Hastings-Sunrise,Sushi Nanaimo,4.5,CA$25 for two,"Sushi, Japanese, Asian","350 Nanaimo Street, Vancouver V5L",+16048769200,514,191
1,Hastings-Sunrise,Bao Chau,4.5,CA$30 for two,"Vietnamese, Asian","2717 East Hastings Street, Vancouver V5K 1Z8",+16042516956,363,106
2,Hastings-Sunrise,Le Petit Saigon,4.4,CA$25 for two,"Vietnamese, Asian","2783 East Hastings Street, Vancouver V5K1Z8",+16042516340,270,128
3,Hastings-Sunrise,Sushiholic,4.3,CA$45 for two,"Sushi, Japanese, Asian","3311 East Broadway, Vancouver, Vancouver V5M 2A1",+16048794881,274,192
4,Hastings-Sunrise,Laksa King,4.0,CA$25 for two,"Burmese, Asian Fusion","2546 East Hastings Street, Vancouver V5K",+16044280155,174,159
5,Hastings-Sunrise,Roundel Cafe,4.0,CA$30 for two,Diner,"2465 East Hastings Street, Vancouver V5K",+16042532522,175,33
6,Hastings-Sunrise,Tamam Fine Palestinian Cuisine,4.1,CA$50 for two,Middle Eastern,"2616 East Hastings Street, Vancouver V5K1Z9",+16046207078,119,66
7,Hastings-Sunrise,Tentatsu,3.8,CA$30 for two,"Sushi, Japanese, Asian","2430 East Hastings Street, Vancouver V5K",+16042553733,150,119
8,Hastings-Sunrise,Blowfish Sushi & Japanese Food,4.1,CA$35 for two,"Sushi, Japanese, Asian","107-2828 East Hastings Street, Vancouver V5K",+16042587500,91,50
9,Hastings-Sunrise,Poor Italian,3.8,CA$100 for two,Italian,"3296 East 1st Avenue, Vancouver V5M 1B8",+16042511122,124,61
10,Hastings-Sunrise,James on Hastings,4.0,CA$30 for two,"Chinese, Asian","2683 E Hastings Street, Vancouver V5K 3W8",+16042553188,108,83
11,Hastings-Sunrise,El Pulgarcito,4.1,CA$30 for two,"Mexican, Latin American","2522 East Hastings Street, Vancouver V5K1Z2",+16045688591,93,33
12,Hastings-Sunrise,Vallarta's Mexican Restaurant,4.1,CA$45 for two,"Mexican, Latin American","2891 East Broadway, Vancouver V5M1Z1",+16042162535,78,52
13,Hastings-Sunrise,Bai Bua Thai Cuisine,3.4,CA$30 for two,Thai,"2443 East Hastings Street, Vancouver V5K 1Y8",+17783799699,40,116
14,Hastings-Sunrise,Duotian Fish Soup Noodles Restaurant,2.7,CA$25 for two,"Chinese, Taiwanese, Asian","1st Avenue Marketplace, 212-2800 East 1st Avenue, Vancouver V5M4N9",+16045669612,81,118
15,Hastings-Sunrise,Osteria Napoli,3.6,CA$60 for two,Italian,"1600 Renfrew Street, Vancouver V5K4C7",+16042556441,72,79
16,Hastings-Sunrise,Curry Zone,3.9,CA$30 for two,Indian,"2671 East Hastings Street, Vancouver V5K 1Z9",+16042152207,86,11
17,Hastings-Sunrise,Thai Son Restaurant,4.2,CA$25 for two,Vietnamese,"1st Avenue Marketplace, 230-2800 East 1st Avenue, Vancouver V5M4N9",+16042556436,82,39
18,Hastings-Sunrise,Pho Don,3.5,CA$30 for two,"Vietnamese, Asian","109 - 2838 East Hastings Street, Vancouver V5K 1Z9",+16042557778,68,42
19,Hastings-Sunrise,Thailicious,3.7,CA$25 for two,"Thai, Asian, Cafe","2404 East Hastings Street, Vancouver V5K1Z1",+16042542000,62,31
20,Hastings-Sunrise,Fortune City Seafood Restaurant,3.1,CA$55 for two,"Dim Sum, Chinese, Asian","1st Avenue Marketplace, 302-2800 East 1st Avenue, Vancouver V5M4N9",+16042550008,50,163
21,Hastings-Sunrise,The Slocan,3.6,CA$50 for two,"Canadian, Diner","2715 East Hastings Street, Vancouver V5K",+16042549114,61,24
22,Hastings-Sunrise,My Frosty - Korean Dessert Cafe,3.6,CA$10 for two,Ice Cream,"1758 Renfrew St, Vancouver, BC V5M 3H8, Vancouver",Not available for this place,23,37
23,Hastings-Sunrise,Just Waffles,3.6,CA$25 for two,Desserts,"3531 East Hastings Street, Vancouver V5K 2A9",+16045189041,28,27
24,Hastings-Sunrise,Oscar's Pub,3.4,CA$65 for two,Bar Food,"3684 East Hastings Street, Vancouver V5K",+16042985825,39,22
25,Hastings-Sunrise,East One Seafood Restaurant 食家飯堂,3.2,for two,"Cantonese, Chinese","262-2800 East 1st Avenue, Vancouver, BC, Metro Vancouver, Vancouver",+16042157875,18,79
26,Hastings-Sunrise,Basil Garden Pho,3.7,CA$25 for two,Vietnamese,"2889 East Broadway, Vancouver V5M 1Y9",+16048719998,16,42
27,Hastings-Sunrise,Le Pho,3.3,CA$30 for two,"Vietnamese, Asian","2503 East Hastings Street, Vancouver V5K 1Z2",+16042559897,37,17
28,Hastings-Sunrise,Indian Village Eatery,3.2,CA$30 for two,Indian,"2745 East Hastings Street, Vancouver V5K 1Z8",+16045583111,29,7
29,Hastings-Sunrise,Little Bubble Tea House,3.0,CA$20 for two,"Beverages, Chinese","104-2800 East 1st Avenue, Vancouver V5T1A4",+16042517979,31,7
30,Hastings-Sunrise,Kook Korean BBQ,3.5,CA$50 for two,Korean,"#211A 2800 1st Avenue East, British Columbia, Hastings-Sunrise, Vancouver, Vancouver",+16045665665,11,24
31,Hastings-Sunrise,Dijo's Pizza Panzerotto,3.3,CA$25 for two,Pizza,"116-2838 East Hastings Street, Vancouver V6A4J1",+16042535533,25,3
32,Hastings-Sunrise,Felicia's,3.2,CA$55 for two,Italian,"2492 East Hastings Street, Vancouver V5K1Y8",+16042556116,20,2
33,Hastings-Sunrise,Rainbow Sushi Express,3.8,CA$30 for two,"Sushi, Japanese, Asian","2526 East Hastings Street, Vancouver V5K1Z2",+16042516861,18,8
34,Hastings-Sunrise,The Brighton,2.9,CA$40 for two,Bar Food,"2471 East Hastings Street, Vancouver V5K1Y8",+16044288822,14,3
35,Hastings-Sunrise,Freshslice Pizza,3.3,CA$20 for two,"Pizza, Fast Food","2529 E Hastings St, Vancouver V5K 1Z2 1Y8",+116044447444,21,12
36,Hastings-Sunrise,VanCity Pizza,3.0,CA$20 for two,Pizza,"2547 East Hastings Street, Vancouver V5K",+16042545454,15,1
37,Hastings-Sunrise,McDonald's,2.7,CA$20 for two,Fast Food,"3444 East Hastings Street, Vancouver V5K2A5",+16047181099,15,11
38,Hastings-Sunrise,Jiro Sushi & Ramen,3.5,CA$25 for two,"Sushi, Ramen","1801 Renfrew Street, Vancouver V5M 3H9",Not available for this place,6,5
39,Hastings-Sunrise,Mr. Sub,3.0,CA$20 for two,Fast Food,"2885 East Broadway, Vancouver V5M1Z1",+16042511615,13,2
40,Hastings-Sunrise,Chatime,2.9,CA$10 for two,"Cafe, Coffee and Tea","2740 E Hastings Street, Vancouver V5K 1Z9",+16046201088,8,4
