,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Kensington,Earnest Ice Cream,4.8,CA$15 for two,"Ice Cream, Desserts","3992 Fraser Street, Vancouver V5V4E4",+16044280697,813,186
1,Kensington,Bandidas Taqueria,4.2,CA$40 for two,Mexican,"2781 Commercial Drive, Vancouver V5N 4C5",+16045688224,544,141
2,Kensington,Western Lake Chinese Seafood Restaurant,4.5,CA$35 for two,"Dim Sum, Chinese, Asian, Seafood","4989 Victoria Drive, Vancouver V5P",+16043216862,427,606
3,Kensington,CHAU VeggiExpress,4.7,CA$30 for two,"Vietnamese, Asian","5052 Victoria Drive, Vancouver V5P3T8",+16045689508,322,268
4,Kensington,House of Dosas,4.3,CA$40 for two,"Sri Lankan, South Indian, Indian","1391 Kingsway, Kensington, Vancouver, Vancouver V5V 3E3",+16048751283,371,141
5,Kensington,Sushi by Yuji,4.2,CA$35 for two,"Sushi, Japanese, Asian","2252 Kingsway, Vancouver V5N 2T7",+16044340003,217,219
6,Kensington,Kalvin's Szechuen Restaurant,4.4,CA$30 for two,"Sichuan, Taiwanese, Chinese, Asian","5225 Victoria Drive, Vancouver V5P",+16043212888,227,187
7,Kensington,Dai Tung Chinese Seafood Restaurant,4.1,CA$60 for two,"Dim Sum, Chinese, Asian","108-1050 Kingsway, Vancouver V5V3C6",+16048722268,274,199
8,Kensington,Mui Ngo Gai,4.2,CA$35 for two,"Vietnamese, Asian","2052 Kingsway, Vancouver V5N2T3",+16048768885,171,128
9,Kensington,Hai Phong Vietnamese Restaurant,4.1,CA$30 for two,"Vietnamese, Asian","1246 Kingsway, Vancouver, Vancouver V5V",+16048723828,179,158
10,Kensington,Duffin's Donuts,4.3,CA$15 for two,"Cafe, Sandwich","1391 E 41st Avenue, Vancouver V5W 3R9",+16043255544,211,138
11,Kensington,Hoi An Cafe,4.3,CA$30 for two,"Vietnamese, Asian","5002 Victoria Drive, Vancouver V5P",+16045669283,157,160
12,Kensington,Green Lemongrass,4.2,CA$45 for two,"Vietnamese, Asian","1086 Kingsway, Vancouver V5V 3C6",+16048756638,157,103
13,Kensington,Shima-Ya,4.3,CA$25 for two,"Sushi, Japanese, Asian","5589 Victoria Drive, Vancouver, Vancouver V5P 3W2",+16043224649,162,58
14,Kensington,Green Lettuce,4.3,CA$35 for two,"Indian, Chinese, Asian","1949 Kingsway, Vancouver V5N 2T1",+16048769883,190,103
15,Kensington,Amay's House Burmese and Asian Cuisine,4.2,CA$30 for two,"Burmese, Chinese, Asian","5076 Victoria Drive, Vancouver V5P 3V1",+16043272629,117,157
16,Kensington,Bun Cha Ca Hoang Yen,4.0,CA$30 for two,"Vietnamese, Asian","5083 Victoria Drive, Vancouver, Vancouver V5P 3T9",+16043212711,109,123
17,Kensington,Deutsches Haus at the Vancouver Alpen Club,3.8,CA$50 for two,German,"4875 Victoria Drive, Vancouver V5N4P5",+16048743811,137,140
18,Kensington,Fatty Cow Seafood Hot Pot,3.6,CA$50 for two,"Hong Kong Style, Chinese, Asian","5108 Victoria Drive, Vancouver V5P 3V2 3V1",+16045686630,152,162
19,Kensington,Banh Mi Saigon,4.1,CA$15 for two,"Sandwich, Vietnamese, Asian","5397 Victoria Drive, Vancouver V5P 3V6",+17783799992,101,106
20,Kensington,Golden Swan Restaurant,3.7,CA$45 for two,"Chinese, Asian","5380 Victoria Drive, Vancouver V5P3V7",+16043216621,157,301
21,Kensington,Oka-San Kitchen and Cafe,3.5,CA$30 for two,"Japanese, Asian Fusion","3578 Fraser Street, Vancouver V5V 0B3",+16046209898,54,155
22,Kensington,Pink Peppercorn Seafood House,4.2,CA$100 for two,Seafood,"1485 Kingsway, Vancouver V5N",+16045693626,122,102
23,Kensington,Chongqing Restaurant,4.1,CA$35 for two,"Chinese, Asian","2808 Commercial Drive, Vancouver V5N 4C6",+16042547434,213,57
24,Kensington,Cafe Xu Hue,4.0,CA$15 for two,"Vietnamese, Asian","2226 Kingsway, Vancouver V5N5X6",+16044549940,110,69
25,Kensington,Masayoshi,3.4,CA$300 for two,"Sushi, Japanese","4376 Fraser Street, Vancouver, Vancouver V5V 4G3",+16044286272,30,142
26,Kensington,Koon Bo Seafood Restaurant,3.8,CA$30 for two,"Chinese, Asian","5682 Fraser Street, Vancouver V5W2Z3",+16043231218,113,144
27,Kensington,El Caracol Cafe,4.2,CA$30 for two,"Mexican, Latin American","5190 Victoria Drive, Vancouver V5P",+16043253461,112,72
28,Kensington,The Tipper Restaurant,4.0,CA$50 for two,Canadian,"2066 Kingsway, Vancouver V5N2T3",+16048731010,130,40
29,Kensington,Ken's Kitchen,3.7,CA$50 for two,"Hong Kong Style, Chinese, Asian","1097, Kingsway, Kensington, Vancouver, Vancouver V5V 3C7",+16048736338,142,134
30,Kensington,Bakery Sate,3.9,CA$10 for two,"Cafe, Desserts, Bakery","2879 Commercial Drive, Vancouver V5N0A6",+16045060290,63,56
31,Kensington,Po Kong Vegetarian Restaurant,4.0,CA$50 for two,"Chinese, Asian","1334 Kingsway, Vancouver V5V 3E4",+16048763088,86,95
32,Kensington,Pho Thai Hoa,3.8,CA$25 for two,"Vietnamese, Asian","1625 Kingsway, Vancouver, Vancouver V5N 3X3",+16048732348,125,81
33,Kensington,Aree Thai Restaurant,3.9,CA$30 for two,"Thai, Asian","1150 Kingsway, Vancouver V5V3C6",+16047099229,108,41
34,Kensington,Veggiebowl,4.0,CA$30 for two,"Vietnamese, Asian","2222 Kingsway, Vancouver V5N 2T5",+16046207672,66,60
35,Kensington,BT Cafe,3.7,CA$20 for two,"Chinese, Asian","920 Kingsway, Vancouver V5V 3C4",+16048723368,89,104
36,Kensington,Chomp Vegan Eatery,3.8,CA$30 for two,Cafe,"2234 East Hastings, Vancouver",+16049170201,88,7
