,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Kitsilano,Fable Kitchen,4.8,CA$70 for two,"Canadian, Seafood","1944 W 4th Avenue, Vancouver V6J 1M5",+16047321322,830,354
1,Kitsilano,Maenam,4.2,CA$55 for two,"Thai, Asian","1938 West 4th Avenue, Vancouver V6J 1M5",+16047305579,584,301
2,Kitsilano,The Naam,4.0,CA$40 for two,"Canadian, Asian Fusion, Asian","2724 W 4th Avenue, Vancouver V6K 1R1",+16047387151,951,219
3,Kitsilano,The Eatery,3.9,CA$40 for two,"Sushi, Japanese","3431 W Broadway, Vancouver V6R 2B3",+16047385298,807,139
4,Kitsilano,La Quercia,4.6,CA$70 for two,Italian,"3689 West 4th Avenue, Vancouver V6R1N8",+16046761007,339,77
5,Kitsilano,AnnaLena,4.3,CA$70 for two,Pacific Northwest,"1809 West 1st Avenue, Vancouver V6J 5B8",+17783794052,173,274
6,Kitsilano,Las Margaritas Restaurant,4.1,CA$55 for two,Mexican,"1999 West 4th Avenue, Vancouver V6J 1M7",+16047347117,704,167
7,Kitsilano,Green Leaf Sushi,4.2,CA$40 for two,"Sushi, Japanese, Asian","3416 W Broadway, Vancouver V6R 2B3",+16045689406,188,235
8,Kitsilano,Chewies,4.2,CA$80 for two,Seafood,"2201 W 1st Avenue, Vancouver V6K 1E9",+16045584448,393,149
9,Kitsilano,Rain or Shine Ice Cream,4.5,CA$15 for two,"Ice Cream, Desserts","102-1926 West 4th Avenue, Vancouver V6J1M6",+16044287246,355,128
10,Kitsilano,Romer's,4.2,CA$45 for two,"Burger, Bar Food","1873 West 4th Avenue, Vancouver V6J 3H3",+16047329545,475,170
11,Kitsilano,Trattoria Italian Kitchen,4.2,CA$60 for two,Italian,"1850 W 4th Avenue, Vancouver V6J 1M3 1M3",+16047321441,472,162
12,Kitsilano,Raisu,4.0,CA$55 for two,Japanese,"2340 West 4th Avenue, Vancouver V6K 1P1",+16046201564,98,308
13,Kitsilano,Zest,4.3,CA$80 for two,"Sushi, Japanese, Asian","2775 West 16th Avenue, Vancouver V6K3X5",+16047319378,150,188
14,Kitsilano,Sweet Obsession,4.3,CA$20 for two,"Desserts, Bakery, Cafe","2611 West 16th Avenue, Vancouver V6K3C2",+16047390555,295,146
15,Kitsilano,Banana Leaf,4.2,CA$45 for two,"Malaysian, Asian","3005 West Broadway, Vancouver V6K 2G9",+16047343005,380,134
16,Kitsilano,Bishop's,4.4,CA$130 for two,Pacific Northwest,"2183 West 4th Avenue, Vancouver V6K 4S2",+16047382025,173,46
17,Kitsilano,Ramen Danbo,4.0,CA$35 for two,"Ramen, Japanese, Asian","1833 West 4th Avenue, Vancouver V6J 1M4",+17783798977,183,163
18,Kitsilano,Dark Table,4.1,CA$80 for two,Canadian,"2611 West 4th Avenue, Vancouver V6K 3V9",+16047393275,225,18
19,Kitsilano,720 Sweets,3.2,for two,"Desserts, Ice Cream","3278 West Broadway, Vancouver V6K 2H4",+16046201172,93,161
20,Kitsilano,Temaki Sushi,4.2,CA$40 for two,"Sushi, Japanese, Asian","2156 West Broadway, Vancouver V6K2E4",+16047384321,227,99
21,Kitsilano,Au Comptoir,3.9,CA$95 for two,"French, European","2278 West 4th Avenue, Vancouver V6K 1N8",+16045692278,102,104
22,Kitsilano,Bistro Pastis,3.8,CA$80 for two,French,"2153 West 4th Avenue, Vancouver V6K4S2",+16047315020,171,84
23,Kitsilano,BiBo Pizzeria con Cucina,3.5,CA$75 for two,"Pizza, Italian","1835 West 4th Avenue, Vancouver V6J 3H3",+16045686177,255,90
24,Kitsilano,Novo Pizzeria and Wine Bar,4.1,CA$80 for two,"Pizza, Italian","2118 Burrard Street, Vancouver V6J 3H6",+1604736-2220,171,135
25,Kitsilano,Burgoo,4.1,CA$55 for two,"French, European","2272 West 4th Avenue, Vancouver V6K1P2",+16047343478,198,93
26,Kitsilano,Nook,3.9,CA$50 for two,"Italian, Pizza","1525 Yew Street, Vancouver V6K3E5",+16047340099,112,59
27,Kitsilano,Kibune Sushi,4.1,CA$40 for two,"Sushi, Japanese, Asian","1508 Yew Street, Vancouver V6K3E5",+16047314482,129,75
28,Kitsilano,Siegel's Bagels,4.3,CA$25 for two,"Cafe, Bakery","Donegal Place, 1883 Cornwall Avenue, Vancouver V6J1C7",+16047378151,182,34
29,Kitsilano,Local  Kitsilano,3.9,CA$60 for two,Bar Food,"2210 Cornwall Ave, Vancouver V6K 1B5",+16047343589,193,50
30,Kitsilano,Kinome,3.8,CA$40 for two,"Sushi, Japanese, Asian","2511 West Broadway, Vancouver",+17783791925,46,135
31,Kitsilano,Connie's Cook House,4.2,CA$35 for two,"Chinese, Asian","2135 W 4th Avenue, Vancouver V6K 1N7",+16047380980,149,12
32,Kitsilano,O5 Rare Tea Bar,3.9,CA$15 for two,"Beverages, Tea","2208 West 4th Avenue, Vancouver V6K 1P2",+16045580500,71,36
33,Kitsilano,La Cigale French Bistro,3.9,CA$55 for two,French,"1961 West 4th Avenue, Vancouver V6J 1M7",+16047320004,99,57
34,Kitsilano,Al Basha,4.0,CA$20 for two,"Kebab, Mediterranean, Fast Food","3143 West Broadway, Vancouver V6K 2H2",+16045688841,110,16
35,Kitsilano,Hi-Nippon Japanese,3.8,CA$40 for two,"Sushi, Japanese, Asian","2274 W 4th Avenue, Vancouver V6K 1P2",+16047361766,170,45
36,Kitsilano,Indian Oven,3.9,CA$45 for two,Indian,"2006 West 4th Avenue, Vancouver V6J 1M7",+16047305069,152,41
37,Kitsilano,Nat's New York Pizzeria,4.2,CA$30 for two,"Italian, Pizza","2684 West Broadway, Vancouver V6K",+16047370707,142,28
38,Kitsilano,Tandoori Fusion,4.2,CA$35 for two,Indian,"2872 West Broadway, Vancouver V6K 2G7",+16047382824,102,17
39,Kitsilano,Jolly's Indian Bistro,4.1,CA$50 for two,Indian,"2928 West 4th Avenue, Vancouver V6K 1R2",+16047349110,153,26
40,Kitsilano,Dharma Kitchen,4.0,CA$50 for two,Asian,"3667 West Broadway, Vancouver V6R3R8",+16047383899,111,13
41,Kitsilano,Double DD Pizza,4.0,CA$45 for two,"Pizza, Greek, Italian","3510 West 4th Avenue, Vancouver V6R1N8",+16047367001,108,11
42,Kitsilano,Akbar's Own Cuisine of India,3.7,CA$45 for two,Indian,"1905 West Broadway, Vancouver V6J 1Z3",+16047368180,104,55
43,Kitsilano,Gramercy Grill,3.7,CA$85 for two,"Canadian, Grill","2685 Arbutus Street, Vancouver V6J3Y4",+16047305666,110,26
44,Kitsilano,Kitstaya Sushi,3.5,CA$45 for two,"Sushi, Japanese, Asian","3105 West Broadway, Vancouver V6K2G9",+16047370181,128,25
45,Kitsilano,Ramen House,3.2,CA$40 for two,"Ramen, Japanese, Asian","2893 West Broadway, Vancouver V6K 2G6",+16047372500,76,30
46,Kitsilano,Corduroy Restaurant,3.4,CA$60 for two,"Pizza, Bar Food","1943 Cornwall Avenue, Vancouver V6J 1C8",+16047330162,82,17
47,Kitsilano,Darby's Public House,3.5,CA$60 for two,Bar Food,"2001 Macdonald Street, Vancouver V6K 1P9",+16047310617,95,17
48,Kitsilano,Simpatico Ristorante,4.0,CA$60 for two,"Greek, Mediterranean","2222 West 4th Avenue, Vancouver V6K4S2",+16047336824,84,17
