,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Maple Ridge,Delizie Italiane Bakery and Bistro,3.6,CA$25 for two,"Bakery, Italian","22266 Dewdney Trunk Road, Metro Vancouver V2X",+16044671711,38,14
1,Maple Ridge,Lupita Mexican Foods,3.6,CA$15 for two,Mexican,"22349 Selkirk, Metro Vancouver V2X2X6",+16044771007,19,7
2,Maple Ridge,Mr. Lunch,3.4,CA$20 for two,Cafe,"20295 113B Avenue #5, Maple Ridge, Metro Vancouver",+16044654716,24,2
3,Maple Ridge,De Dutch Pannekoek House,3.5,CA$40 for two,European,"West Gate Centre, 600-20395 Lougheed Highway, Metro Vancouver V2X2P9",+16044591162,16,11
4,Maple Ridge,Tea One Bubble Tea,3.7,CA$15 for two,"Bubble Tea, Beverages","Selkirk Town Centre, 22529 Lougheed Highway, Metro Vancouver V2X2V4",+16044795511,10,5
5,Maple Ridge,Sushi Sama,3.7,CA$35 for two,"Japanese, Sushi","22783 Dewdney Trunk Road, Maple Ridge, Metro Vancouver V2X 3K4",+16044793131,9,10
6,Maple Ridge,Golden Ears Cheesecrafters,3.6,CA$25 for two,Cafe,"22270 128 Avenue, Metro Vancouver",+16044670004,6,9
7,Maple Ridge,Summer's Diner,3.4,CA$25 for two,Diner,"1-23382 River Road, Metro Vancouver V2W1B6",+16044660102,8,10
8,Maple Ridge,Waves Coffee,3.6,CA$20 for two,Cafe,"Hammond Mill Centre, 108-20690 Lougheed Highway, Metro Vancouver V2X2P8",+16044609283,6,25
9,Maple Ridge,Hansel & Gretel Bakery,3.5,CA$20 for two,"Bakery, Desserts","22777 Dewdney Trunk Road, Metro Vancouver V2X3K4",+16044630034,4,7
10,Maple Ridge,Europe Bakery & Deli,3.4,CA$10 for two,"Bakery, Deli","11841 224 Street, Metro Vancouver V2X",+16044677875,9,3
11,Maple Ridge,Kanaka Creek Coffee,3.7,CA$20 for two,Cafe,"101-24155 102 Avenue, Metro Vancouver V2W2A2",+16044636727,9,2
12,Maple Ridge,Bean Around Books,3.3,CA$25 for two,Cafe,"22626 Lougheed Highway, Metro Vancouver V2X2V3",+16044662966,8,3
13,Maple Ridge,Maple Meadows Brewery,3.1,CA$20 for two,Drinks Only,"22775 Dewdney Trunk Road, Metro Vancouver",+16044790999,5,4
14,Maple Ridge,Sugar Cube Cafe,-,CA$15 for two,"Asian, Cafe","310-21070 Stewart Crescent, Metro Vancouver",+16044600011,2,2
15,Maple Ridge,Hot Pho Restaurant,-,CA$15 for two,Vietnamese,"22550 Dewdney Trunk Road, Maple Ridge, Metro Vancouver V2X 3J9",+16044671618,2,0
16,Maple Ridge,Aquatic Cafe,-,CA$20 for two,Cafe,"11995 Haney Place, Metro Vancouver V2X6G1",+16044638898,0,0
17,Maple Ridge,Big Feast Bistro,4.3,CA$60 for two,Canadian,"11920 227th Street, Metro Vancouver V2X6J3",+16044774334,133,37
18,Maple Ridge,Smile Thai Cuisine,4.2,CA$35 for two,"Thai, Asian","22624 Lougheed Highway, Metro Vancouver V2X 2V3",+16044638028,108,9
19,Maple Ridge,Shinobi,4.2,CA$40 for two,"Sushi, Japanese, Asian","11867 224 Street, Maple Ridge, Metro Vancouver V2X 6B1",+16044661811,126,21
20,Maple Ridge,GM Restaurant,4.4,CA$35 for two,"Indian, Desserts","20726 Lougheed Highway, Metro Vancouver, Metro Vancouver V2X 2R1",+16044637877,122,10
21,Maple Ridge,Black Sheep Public House & Liquor Store,4.1,CA$70 for two,Bar Food,"12968 232 Street, Maple Ridge, Metro Vancouver V2X 6V2",+16044761008,111,25
22,Maple Ridge,Chameleon,3.9,CA$70 for two,"Seafood, Pacific Northwest, Canadian","11965 224 St, Maple Ridge, Metro Vancouver V2X6B4",+16044675664,107,7
23,Maple Ridge,Bobby Sox 50's Diner,3.8,CA$40 for two,Diner,"22596 Lougheed Highway, Metro Vancouver V2X2V4",+16044679290,73,25
24,Maple Ridge,Kingfishers Waterfront Bar & Grill,3.6,CA$75 for two,"Bar Food, Grill","23840 River Road, Metro Vancouver V2W1B7",+16044630094,88,20
25,Maple Ridge,Soprano's Pizza,3.5,CA$25 for two,"Greek, Pizza","22358 Lougheed Highway, Metro Vancouver V5M",+16044672929,88,10
26,Maple Ridge,Billy Miner Ale House,3.9,CA$65 for two,Bar Food,"22355 River Road, Metro Vancouver",+16044676002,72,19
27,Maple Ridge,Paliotti's,3.5,CA$60 for two,Italian,"12018 Edge Street, Metro Vancouver V2X6G4",+16044638926,79,12
28,Maple Ridge,Il Corsaro Pasta Bar,3.9,CA$75 for two,Italian,"22370 Dewdney Trunk Road, Metro Vancouver V2X",+16044662652,62,11
29,Maple Ridge,Kings Kitchen,3.7,CA$30 for two,"Chinese, Asian, Canadian","22425 North Avenue, Metro Vancouver V2X2L7",+16044679488,73,1
30,Maple Ridge,Iori Sushi Bar,4.2,CA$35 for two,"Sushi, Japanese, Asian","Valley Fair Mall, 620-22709 Lougheed Highway, Metro Vancouver V2X2V5",+16044631758,59,9
31,Maple Ridge,Pho Song,4.0,CA$25 for two,"Vietnamese, Asian","22334 Lougheed Hwy, Metro Vancouver V2X 5Y1",+16044770066,51,9
32,Maple Ridge,Sushiro,3.7,CA$35 for two,"Sushi, Japanese, Asian","103-22805 Lougheed Hwy, Metro Vancouver V2X2V6",+16044769699,63,6
33,Maple Ridge,Pho Phuong Hong,3.9,CA$25 for two,"Vietnamese, Asian","106-20306 Dewdney Trunk Road, Metro Vancouver V2X3E1",+16044652300,52,13
34,Maple Ridge,Sushi Umibe,3.9,CA$25 for two,"Sushi, Japanese, Asian","11955 207 Street. Suite 1, Maple Ridge, Metro Vancouver V2X 3E4",+16044650222,49,22
35,Maple Ridge,Red Robin,3.5,CA$30 for two,"Burger, Canadian","Valley Fair Mall, 22701 Lougheed Highway, Metro Vancouver V2X2V5",+16044676266,55,15
36,Maple Ridge,Sushi Tengu,3.8,CA$25 for two,"Sushi, Japanese, Asian","20838 Lougheed Highway, Metro Vancouver V2X2R3",+16043803380,44,15
37,Maple Ridge,Wasabi Sushi & Grill,3.9,CA$25 for two,"Sushi, Japanese, Asian","5-21768 Lougheed Highway, Metro Vancouver V2X2S2",+16044770222,38,10
38,Maple Ridge,Hamada,3.5,CA$35 for two,"Sushi, Japanese, Asian","Selkirk Town Centre, 200-22529 Lougheed Highway, Metro Vancouver V2X 2V4",+16044637535,47,7
39,Maple Ridge,The Keg Steakhouse + Bar - Maple Ridge,3.7,CA$90 for two,"Steak, Seafood","20640, Dewdney Trunk Road, Maple Ridge, Metro Vancouver, Metro Vancouver V2X 3E5",+16044658911,48,14
40,Maple Ridge,Socrates Taverna,3.4,CA$50 for two,Greek,"20691 Lougheed Highway, Metro Vancouver V2X2P9",+16044651393,42,4
41,Maple Ridge,Home Restaurant,3.9,CA$45 for two,"Canadian, Burger","21667 Lougheed Highway, Metro Vancouver V2X2S2",+16044761600,37,12
42,Maple Ridge,La Trattoria,3.6,CA$70 for two,Italian,"22214 Dewdney Trunk Road, Metro Vancouver V2X3H8",+16044669951,40,3
43,Maple Ridge,Aburiya Sushi,3.8,CA$25 for two,"Sushi, Japanese, Asian","22590 Dewdney Trunk Road, Metro Vancouver V2X3J9",+16044673363,33,22
44,Maple Ridge,Big Daddy's Pizza & BBQ,3.3,CA$25 for two,"BBQ, Pizza","Valley Fair Mall, 640-22709 Lougheed Highway, Metro Vancouver V2X2V6",+16044676666,34,8
45,Maple Ridge,Austin Fish & Chips,3.5,CA$35 for two,Fish and Chips,"Valley Fair Mall, 22709 Lougheed Highway, Suite 690, Metro Vancouver V2X 2V5",+16044668200,36,12
46,Maple Ridge,Burger King,2.7,CA$20 for two,"Burger, Fast Food","20290 Lougheed Highway, Metro Vancouver V2X2P7",+16044657149,39,68
47,Maple Ridge,Townhall Public House,3.3,CA$55 for two,Bar Food,"206 20690 Lougheed Highway, Metro Vancouver V2X 2P8",+16044570100,23,29
48,Maple Ridge,Silver House,3.9,CA$40 for two,"Chinese, North Indian","22378 Dewdney Trunk Road, Metro Vancouver V2X",+16044675454,40,0
49,Maple Ridge,Halu Sushi,3.5,CA$25 for two,"Sushi, Japanese, Asian","West Gate Centre, 560-20395 Lougheed Highway, Metro Vancouver V2X2P9",+16044601886,36,6
50,Maple Ridge,Donair City,3.9,CA$25 for two,Fast Food,"22329 Dewdney Trunk Road, Metro Vancouver V2X3J4",+16044668840,33,1
51,Maple Ridge,JMK Mahal Restaurant,3.8,CA$40 for two,Indian,"11968 223 Street, Metro Vancouver V2X 3E4",+16044762228,30,6
52,Maple Ridge,Donair Top,3.8,CA$15 for two,"Mediterranean, Middle Eastern","Meadow Ridge Shopping Centre, 11956 207th Street, Metro Vancouver V2X1X7",+16044669997,27,3
53,Maple Ridge,China Kitchen Restaurant,3.4,CA$35 for two,"Chinese, Asian","22805 Lougheed Highway, Metro Vancouver V2X2V6",+16044630001,36,21
54,Maple Ridge,Chinese Palace,3.3,CA$45 for two,"Chinese, Asian","22528 Lougheed Highway, Metro Vancouver V2X2V2",+16044636311,27,0
55,Maple Ridge,The Haney Public House,3.3,CA$55 for two,Bar Food,"22222 Lougheed Highway, Metro Vancouver V2X",+16044633811,29,4
