,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Mount Pleasant,Les Faux Bourgeois,4.5,CA$80 for two,French,"663 E 15th Avenue, Vancouver V5T 2R6",+16048739733,0,281
1,Mount Pleasant,Toshi Sushi,4.6,CA$25 for two,"Sushi, Japanese, Asian","Cartier Place, 181 E 16th Avenue, Vancouver V5T 3B4",+16048745173,711,242
2,Mount Pleasant,Burgoo,4.5,CA$55 for two,"French, European","3096 Main Street, Vancouver V5T 3G5",+16048731441,0,219
3,Mount Pleasant,Forty Ninth Parallel Cafe & Lucky's Doughnuts,4.6,CA$20 for two,"Cafe, Desserts","2902 Main Street, Vancouver V5T3G3",+16048724901,702,376
4,Mount Pleasant,Congee Noodle House,4.3,CA$25 for two,"Chinese, Asian","141 E Broadway, Vancouver V5T 1W1",+16048798221,751,309
5,Mount Pleasant,Sushiyama,4.3,CA$25 for two,"Sushi, Japanese, Asian","371 E Broadway, Vancouver V5T 3M7",+16048720053,562,142
6,Mount Pleasant,Shiro,4.4,CA$30 for two,"Sushi, Japanese, Asian","3096 Cambie Street, Vancouver V5Z 2V9",+16048740027,332,237
7,Mount Pleasant,The Wallflower,4.0,CA$40 for two,Diner,"2420 Main Street, Vancouver V5T3E2",+16045687554,379,96
8,Mount Pleasant,Osteria Savio Volpe,4.0,CA$60 for two,Italian,"615 Kingsway, Vancouver V5T 3K5",+16044280072,97,168
9,Mount Pleasant,CRAFT Beer Market,3.8,CA$45 for two,"Bar Food, Canadian","Olympic Village, 85 West 1st Avenue, Vancouver V5Y3K8",+16047092337,322,227
10,Mount Pleasant,Earnest Ice Cream,4.4,CA$15 for two,"Ice Cream, Desserts","1829 Quebec Street, Vancouver V5V 4E4",+17783790697,213,185
11,Mount Pleasant,Sushi Loku,4.1,CA$30 for two,"Sushi, Japanese, Asian","2280 Commercial Drive, Vancouver, BC V5N 5P9, Vancouver V5T 1X4",+16042984403,186,400
12,Mount Pleasant,Eight 1/2 Restaurant Lounge,4.2,CA$50 for two,Canadian,"151 East 8th Avenue, Vancouver V5T1R8",+16045682703,243,112
13,Mount Pleasant,Cascade Room,4.2,CA$60 for two,"British, Bar Food","2616 Main Street, Vancouver V5T 3E7",+16047098650,263,84
14,Mount Pleasant,Lucy's Eastside Diner,3.8,CA$30 for two,Diner,"2708 Main Street, Vancouver V5T 3C7",+16045681550,293,113
