,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,New Westminster,Victoria Sushi,4.4,CA$45 for two,"Sushi, Japanese, Asian","10-15 Royal Avenue East, Metro Vancouver V3L 0C7",+16047593848,190,283
1,New Westminster,Tamarind Hill,4.5,CA$60 for two,"Malaysian, Asian","103-628 6th Avenue, Metro Vancouver V3L 1K1",+16045263000,355,137
2,New Westminster,Taqueria Playa Tropical,4.5,CA$40 for two,Mexican,"334 6th Street, Metro Vancouver V3L3B1",+16045445006,318,114
3,New Westminster,Burger Heaven,4.3,CA$55 for two,"Burger, Canadian","77 10th Street, Metro Vancouver V3M 1C4",+16045228339,328,84
4,New Westminster,Cockney Kings Fish & Chips,4.5,CA$40 for two,"Fish and Chips, British","Columbia Square Plaza, 130-66 10th Street, Metro Vancouver V3M 1A6",+16045226099,316,68
5,New Westminster,Longtail Kitchen,4.1,CA$35 for two,"Fast Food, Thai, Asian","River Market, 116-810 Quayside Drive, Metro Vancouver V3M6B9",+16045533855,150,173
6,New Westminster,Thai New West,4.1,CA$45 for two,"Thai, Asian","424 East Columbia Street, Metro Vancouver V3L3X4",+16045447997,151,85
7,New Westminster,Anny's Dairy Bar,4.3,CA$20 for two,"Ice Cream, Canadian, Fast Food","722 6th Street, Metro Vancouver V3L 3C6",+16045151410,144,51
8,New Westminster,Kirin Seafood Restaurant,4.1,CA$60 for two,"Dim Sum, Seafood","Starlight Casino, 350 Gifford Street, Metro Vancouver V3M 7A3",+16045288833,186,285
9,New Westminster,The Spud Shack Fry Co.,4.0,CA$40 for two,"Bar Food, Sandwich","800 Carnarvon Street, Unit 352, New Westminster, Metro Vancouver V3M 1C4",+16045532582,144,73
10,New Westminster,Ki Sushi,4.0,CA$55 for two,"Sushi, Japanese, Asian","31 8th Street, Metro Vancouver V3M1E6",+16045211833,280,86
11,New Westminster,The Old Bavaria Haus,4.2,CA$75 for two,German,"233 6th Street, Metro Vancouver V3L 3A5 3A5",+16045245824,142,63
12,New Westminster,Spring Garden Chinese,4.1,CA$40 for two,"Dim Sum, Chinese, Asian","832 12th Street, Metro Vancouver V3M 4K3",+16045256000,142,164
13,New Westminster,Sushi Well,4.0,CA$40 for two,"Sushi, Japanese, Asian","26 4th Street, Metro Vancouver V3L1G1",+17783970567,170,141
14,New Westminster,Mongo Bongo Mongolian Grill,4.1,CA$35 for two,"Chinese, Mongolian, Asian","512 6th Avenue, Metro Vancouver V3L2X9",+16045445007,138,27
15,New Westminster,Hon's Wun Tun House,4.2,CA$35 for two,"Chinese, Asian","408 6th Street, Metro Vancouver V3L 3B1",+16045206661,202,65
16,New Westminster,Big Star Sandwich Company,4.2,CA$25 for two,"Sandwich, Canadian","664 Columbia Street, Metro Vancouver V3M 4J7",+16045210019,107,29
17,New Westminster,The Old Spaghetti Factory,3.4,CA$50 for two,Italian,"50 8th Street, Metro Vancouver V3M 3N8",+16045249788,158,153
18,New Westminster,Re-Up BBQ,3.8,CA$30 for two,"Fast Food, BBQ","River Market, 114-810 Quayside Drive, Metro Vancouver V3M6Z6",+16045533997,114,66
19,New Westminster,North Noodle House,3.9,CA$35 for two,"Chinese, Asian","New West, Third Floor, 356-800 Carnarvon Street, Metro Vancouver V3M0G3",+16045446611,82,47
20,New Westminster,NaanBites,4.2,CA$30 for two,"Indian, Fast Food","Queensborough Landing, J120-805 Boyd Street, Metro Vancouver V3M 5X2",+16045279997,116,39
21,New Westminster,Shang Noodle House,2.9,CA$30 for two,"Chinese, Asian, Bubble Tea","Starlight Casino, 350 Gifford Street, Metro Vancouver V3M 7A3",+16045273388,87,143
22,New Westminster,Rivers Reach Pub,4.0,CA$65 for two,Bar Food,"320 6th Street, Metro Vancouver V3L 3B1",+16047770101,133,33
23,New Westminster,The Boathouse Restaurant,2.9,CA$75 for two,"Seafood, Steak","900 Quayside Drive, Metro Vancouver V3M 6C9",+16045253474,149,83
24,New Westminster,Taverna Greka,4.1,CA$60 for two,Greek,"326 Columbia Street, Metro Vancouver V3L 1A7",+16045266651,106,45
