,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Newton,Tasty Donair,4.1,CA$25 for two,Middle Eastern,"125-13711 72nd Avenue, Surrey V3W 2P2",+16045962277,84,10
1,Newton,Green Lettuce Restaurant,4.1,CA$35 for two,"Indian, Chinese, Asian","112-6350 120th Street, Surrey V3X 3K1",+16045728677,97,39
2,Newton,New York New York Greek Restaurant,4.1,CA$60 for two,"Greek, Italian","6361 152 Street, Surrey V3S 3K8",+16045724222,83,33
3,Newton,Apna Chaat House,4.0,CA$30 for two,"Indian, Chinese","7500, 112-7500 Scott Road, Surrey V3W 3M9",+16045028081,70,40
4,Newton,Afghan Chopan Restaurant & Bakery,3.8,CA$40 for two,Afghan,"104-12888 80 Avenue, Surrey V3W 4E9",+16045432385,43,89
5,Newton,Aomori Sushi,3.9,CA$40 for two,"Sushi, Japanese, Asian","12-13767 72 Avenue, Surrey V3W 9Z1",+16045430858,51,52
6,Newton,Kyoto Sushi Japanese Restaurant,3.6,CA$30 for two,"Sushi, Japanese, Asian","13651 72nd Avenue, Surrey V3W 2P2",+16045922883,89,24
7,Newton,Pho Tau Bay,3.8,CA$35 for two,"Vietnamese, Asian","Centre of Newton, 110-7322 King George Boulevard, Surrey V3W 5A5",+16045031221,68,22
8,Newton,Wings,3.7,CA$55 for two,Bar Food,"Newton Crossing, 7124 King George Hwy, Surrey V3W4Z1",+16045962244,74,41
9,Newton,Nordel Sushi,3.2,CA$65 for two,"Sushi, Japanese, Asian","Nordel Crossing, 125-12080 Nordel Way, Surrey V3W 1P6",+16045977220,67,32
10,Newton,Old Surrey Restaurant,3.8,CA$90 for two,"Canadian, Pacific Northwest","13483 72 Avenue, Surrey V3W 2N7 5V9",+16045962313,45,30
11,Newton,Tawara Japanese Restaurant,4.0,CA$45 for two,"Sushi, Japanese, Asian","Panorama Village, 103-15161 Highway 10, Surrey V3S 9A5",+16045745353,47,41
12,Newton,My Greek Taverna,3.9,CA$70 for two,"Greek, Mediterranean","7-6450 120 Street, Surrey V3W 3M5",+16045920707,55,24
13,Newton,Kami Japanese Restaurant,3.7,CA$40 for two,"Sushi, Japanese, Asian","Strawberry Hill Shopping Centre, 122-12101 72nd Avenue, Surrey V3W 2M1",+16045998858,55,20
14,Newton,Gulberg Restaurant,3.6,CA$25 for two,"Indian, Pakistani","Kwantlen Square, 119-7181 126 Street, Surrey V3W2M8",+16045432080,47,26
15,Newton,Dashiwa Sushi,4.0,CA$25 for two,"Sushi, Japanese, Asian","Sullivan Station, 103 - 6351 ,152 Street, Surrey V3S 3K8",+16045070811,51,16
16,Newton,Gateway Pizza,3.5,CA$20 for two,"Indian, Pizza, Fast Food","101-12877 76 Avenue, Surrey V3W 1E6",+16045903333,43,12
17,Newton,Wild Wing,3.6,CA$35 for two,Bar Food,"Centre of Newton, 115-7322 King George Boulevard, Surrey V3W5A5",+16045031360,44,15
18,Newton,Taj Sweets & Restaurant,3.9,CA$30 for two,"Indian, Desserts","103-12047 80 Avenue, Surrey V3W 1M9",+16045439113,36,26
19,Newton,Planet India Restaurant,3.9,CA$50 for two,Indian,"17-13775 72 Avenue, Surrey V3W 2P2",+16045946075,40,37
20,Newton,Pho Newton,3.7,CA$30 for two,"Vietnamese, Asian","Kings Cross, 170-7488 King George Boulevard, Surrey V3W0H9",+17785931828,45,14
21,Newton,Mayuri Indian Cuisine,3.9,CA$40 for two,Indian,"102A-12677 80 Avenue, Surrey V3W 3A6",+16045723255,30,25
22,Newton,The Keg,4.0,CA$90 for two,"Steak, Seafood","7948 Scott Road, Surrey V3W 1J4",+16045916161,43,19
23,Newton,Brewster's Pub,3.7,CA$60 for two,Bar Food,"Newton Village, 700-7380 King George Highway, Surrey V3W5A5",+16045988100,34,19
24,Newton,BBQ Nation,3.5,CA$20 for two,Fast Food,"101-7238 137 Street, Surrey, Surrey V3W 1V3",+16045020206,29,25
25,Newton,Boston Pizza,3.8,CA$45 for two,"Pizza, Bar Food","600-7488, King George Hwy, King's Cross Mall, Newton, Surrey, Surrey V3W 1P6",+16045998877,45,22
26,Newton,Pepperoni Cafe,3.7,CA$25 for two,"Pizza, Fast Food","Boundary Park, 140-6350 120th Street, Surrey, Surrey V3X 3K1",+16045947777,38,8
27,Newton,Nando's,3.9,CA$25 for two,"Portuguese, African","Unit 144, Strawberry Hill, 12101 72nd Ave, Newton, Surrey, Surrey V3W 3M9",+16045028010,42,28
28,Newton,The Greek Corner,3.6,CA$50 for two,"Greek, Mediterranean","Centre of Newton II, 123-7218 King George Boulevard, Surrey V3W",+16045033780,30,17
29,Newton,Lucky Horse Restaurant,3.2,CA$35 for two,"Chinese, Asian","125-13737 72nd Avenue, Surrey V3W 2P2",+16045912770,38,2
30,Newton,Mahek Chaat House,3.8,CA$30 for two,Indian,"106-8556 120 Street, Surrey V3W9R4",+16045973835,32,8
31,Newton,Swiss Chalet,2.9,CA$50 for two,Canadian,"Kings Cross, 800-7488 King George Boulevard, Surrey V3W 0H9",+16045958391,32,33
32,Newton,Snak Shak & Thai Restaurant,3.5,CA$25 for two,"Thai, Asian","4-13560 77 Avenue, Surrey V3W 6Y2",+16045967211,21,12
33,Newton,Bear Creek Pub & Grill,2.5,CA$45 for two,"Bar Food, Canadian","Bear Creek Plaza, 101-13588 88 Avenue, Surrey V3W6Y8",+16045936818,33,8
34,Newton,Urban Masala Grill & Restaurant,3.4,CA$30 for two,Indian,"Kwantlen Square, 23-12588 72 Street, Surrey V3W 2M6",+16045919422,30,5
35,Newton,Tim Hortons,3.1,CA$20 for two,"Fast Food, Cafe","19218 96th Avenue, Surrey",+16045139933,37,13
36,Newton,Aggarwal Sweets,3.7,CA$25 for two,"Desserts, Indian","Payal Business Centre, 351-8158 128 Street, Surrey V3W 0R6",+16045430772,22,23
37,Newton,Sushi Topia,3.6,CA$30 for two,"Sushi, Japanese, Asian","Boundary Park,120-6350 120th Street, Surrey V3X 3K1",+16045922490,26,17
38,Newton,Training Day Cafe,3.2,CA$25 for two,"Healthy Food, Beverages, Cafe","8077 King George Boulevard, Surrey V3W",+16045931277,17,25
39,Newton,Golden Panda,3.1,CA$30 for two,"Chinese, Asian","Sullivan Station, 203-6355 152nd Street, Surrey V3S 3K8",+16045723889,29,10
40,Newton,The Sushi Bar,3.3,CA$35 for two,"Sushi, Japanese, Asian","7115 138 Street, Surrey V3W7T9",+16045901024,21,21
41,Newton,GNJ Vegetarian Bistro,3.5,CA$25 for two,"Indian, Asian, Italian","Strawberry Hill Shopping Centre, 100-7310 72 Avenue, Surrey V3W 3M9",+17785652020,19,25
42,Newton,Yellow Chilli Restaurant & Bar,3.7,CA$40 for two,Indian,"Kwantlen Korner, 6-12818 72 Avenue, Surrey V3W2M9",+16045919000,17,8
43,Newton,Kamal Sweets & Tandoori Hut,3.2,CA$20 for two,"Desserts, Indian","6977 128th Street, Surrey V3W 4E1",+16045981238,20,8
44,Newton,Cafe Madras,3.7,CA$15 for two,Indian,"111-8381 128 Street, Surrey V3W4G1",+16045033030,16,13
45,Newton,Main Choice Chinese Restaurant,3.8,CA$35 for two,"Chinese, Asian","13393 72 Avenue, Surrey V3W 2N5",+16045918677,18,15
46,Newton,Spice 72,3.2,for two,Indian,"12025 72nd Avenue, Surrey V3W 2M1",+17788924730,22,12
47,Newton,Red Rose,3.3,CA$45 for two,"Greek, Canadian, Italian","6914 King George Boulevard, Surrey V3W4Z1",+16045918850,24,5
48,Newton,White Spot,2.9,CA$50 for two,Canadian,"Panorama Village, 113-15157 56th Avenue, Surrey V3S9A5",+17785745772,29,22
49,Newton,Rama Sweets & Restaurant,3.7,CA$35 for two,Indian,"107-7028 120 Street, Surrey V3W3M8",+16045908821,9,21
50,Newton,Chongqing,3.2,for two,Asian,"8220 120th Street, Surrey V3W 3N4",+16045936929,15,11
51,Newton,Mughal Garden Sweets & Restaurant,3.9,CA$25 for two,Indian,"12788 76A Ave Unit #103, Newton, Surrey, Surrey V3W 1L4",+16045922223,19,11
52,Newton,Nav Sweets & Restaurant,3.1,CA$30 for two,Indian,"Scott Road Centre, 101-8140 120 Street, Surrey V3W 3P2",+17785655572,19,16
53,Newton,A&W,3.7,CA$20 for two,Fast Food,"12133 72 Avenue, Strawberry Hill Shopping Centre, Newton, Surrey, Surrey V3W 2M1",+16045962224,26,2
54,Newton,Dhoom Restaurant & Bar,3.7,CA$35 for two,Indian,"York Centre, 112-7938 128 Street, Surrey V3W4E9",+16045432222,16,13
55,Newton,Bhaia Sweets & Restaurant,3.4,CA$15 for two,"Indian, Desserts","13753 72nd Avenue, Surrey V3W 2P2",+16045998234,22,3
56,Newton,Pakwan House Restaurant,3.7,CA$35 for two,"Indian, Pakistani","12414 82 Avenue, Surrey V3W3E8",+16045947160,15,4
57,Newton,Porto Fino Express,3.7,CA$45 for two,"Greek, Mediterranean, Pizza","134-6350 120th Street, Surrey V3X 3K1",+16045917749,22,2
58,North Delta,B & B Sweet Shop & Restaurant,3.9,CA$25 for two,Indian,"8077 King George Blvd , Surrey V3W 5B4",+16045880222,9,27
59,Newton,Lighthouse Fresh & Tasty,3.8,CA$35 for two,"Indian, Canadian","King George Plaza, 8050 King George Boulevard, Surrey V3W 3C3",+16045994427,17,2
60,Newton,Chawla's,3.3,CA$50 for two,Indian,"7500 Scott, 117-7500 Scott Road, Surrey V3W3M9",+17785931111,19,3
61,Newton,Omega Pizza & Wings,3.1,CA$20 for two,"Pizza, Fast Food","Surrey West Business Park, 103-7577 King George Boulevard, Surrey V3W5A8",+16045920341,18,8
62,Newton,Royal Flavour Restaurant & Lounge,3.3,CA$50 for two,Indian,"Surrey West Business Park, 101-7577 King George Boulevard, Surrey V3W5A8",+16045976667,20,5
63,Newton,Sachdeva Sweets & Restaurant,3.9,CA$25 for two,"Indian, Desserts","7500 Scott, 118-7500 120th Street, Surrey V3W3M9",+16045916788,13,2
64,Newton,Great Pizza,3.6,CA$25 for two,"Pizza, Indian","Kwantlen Square, 122-12578 72 Avenue, Surrey V3W2M6",+16045900241,20,6
65,Newton,Flaming Ice Family Restaurant and Sports Bar,-,CA$25 for two,"BBQ, Canadian","15153 BC-10, unit f-106, Surrey V3S 9A5",+17783219464,3,20
66,Newton,Sushi Line,2.6,CA$30 for two,"Sushi, Japanese, Asian","Newton Village, 104-7380 King George Highway, Surrey V3W5A5",+16045920055,16,8
67,Newton,Calgary Sweets & Restaurant,3.5,CA$35 for two,"Indian, Desserts","113-7928 128 Street, Surrey V3W 4E9",+16045919955,16,5
