,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,North Burnaby,Anton's Pasta Bar,4.1,CA$55 for two,Italian,"4260 East Hastings Street, Burnaby V5C 2J5",+16042996636,0,253
1,North Burnaby,Sushimoto,4.4,CA$35 for two,"Sushi, Japanese, Asian","102-2201 Holdom Avenue, Burnaby V5B 0A2",+16042932201,444,324
2,North Burnaby,Glenburn Soda Fountain & Confectionery,4.5,CA$15 for two,"Ice Cream, Desserts","4090 Hastings Street, Burnaby V5C 2H9",+16045651655,288,179
3,North Burnaby,The Pear Tree Restaurant,4.3,CA$90 for two,"Canadian, French","4120 Hastings Street, Burnaby V5C 2J3",+16042992772,188,136
4,North Burnaby,Chad Thai,4.3,CA$35 for two,"Thai, Asian","4010 East Hastings Street, Burnaby, Burnaby V5C 2H9",+16046771489,235,148
5,North Burnaby,Hakkaku Ramen,4.1,CA$25 for two,"Ramen, Japanese","4530 Hastings Street, Burnaby V5C 2K6",+16045583386,245,83
6,North Burnaby,Sushi Garden,4.0,CA$25 for two,"Sushi, Japanese, Asian","4269 Lougheed Hwy, Burnaby V5C 3Y6",+16042940104,388,216
7,North Burnaby,X-Site Grill & Bistro,4.3,CA$40 for two,"Burger, Grill","4625 Hastings Street, Burnaby V5C 2K8",+16042987483,299,56
8,North Burnaby,Sushi Town,4.2,CA$30 for two,"Sushi, Japanese","5935 East Hastings Street, Burnaby V5B",+16042946155,334,117
9,North Burnaby,Broken Rice,4.1,CA$40 for two,"Vietnamese, Asian","4088 Hastings Street, Burnaby V5C",+16045583838,192,148
10,North Burnaby,Cotto Enoteca Pizzeria,4.1,CA$60 for two,"Italian, Pizza","6011 Hastings Street, Burnaby V5B 4A1",+16042998002,194,164
11,North Burnaby,Kazu Japanese Restaurant,4.1,CA$25 for two,"Sushi, Japanese, Asian","4332 Hastings Street, Burnaby V5C 2J9",+16044288533,104,245
12,North Burnaby,Horizons Restaurant,4.0,CA$80 for two,Seafood,"100 Centennial Way, Burnaby V5A 2X9",+16042991155,214,137
13,North Burnaby,JOEY Burnaby,4.2,CA$70 for two,"Canadian, Bar Food","1899 Rosser Ave #109, Burnaby V5C 6R5",+16045645639,166,116
14,North Burnaby,Blossom Teas,3.8,CA$15 for two,"Bubble Tea, Beverages, Desserts","23-7198 Barnet Road, Burnaby V5A 1C9",+16042944100,80,68
15,North Burnaby,Thai's Saigon Bistro,4.1,CA$35 for two,"Thai, Vietnamese, Asian","4015 Hastings Street, Burnaby V5C 2J1",+16042998848,107,55
16,North Burnaby,Sushi UOmo,3.8,CA$25 for two,"Sushi, Japanese","4280 Hastings Street, Burnaby V5C 2J6",+16045634280,82,107
17,North Burnaby,Gaya Sushi,3.8,CA$25 for two,"Sushi, Japanese, Asian","2900 Bainbridge Avenue, Burnaby V5A 2S9",+16043680086,131,31
18,North Burnaby,White Spot,2.8,CA$50 for two,Canadian,"4129 Lougheed Highway, Burnaby V5C 3Y6",+16042994423,85,176
19,North Burnaby,The Buffet at Grand Villa Casino,2.8,CA$80 for two,"Canadian, Seafood","4331 Dominion, Burnaby, Burnaby V5G 1B2",+16044362211,42,292
20,North Burnaby,Take Sushi,4.1,CA$30 for two,"Sushi, Japanese","4528 Hastings Street, Burnaby V5C",+16042917241,116,56
21,North Burnaby,Little Billy's Steakhouse,4.0,CA$90 for two,"Greek, Steak","6785 Hastings Street, Burnaby V5B 1S6",+16042944460,94,45
22,North Burnaby,Thai Cafe,3.9,CA$30 for two,"Thai, Asian","4160 Hastings Street, Burnaby V5C 2J4",+16042994525,110,34
23,North Burnaby,Sfinaki Taverna,3.8,CA$60 for two,"Greek, Mediterranean","4061 Hastings Street, Burnaby V5C 2J1",+16042993400,117,33
24,North Burnaby,Fatburger,3.2,CA$25 for two,"Burger, Fast Food","4461 Lougheed Hwy #4, Burnaby V5C 3Z2",+16045685179,110,77
25,North Burnaby,Sushi Yoi,3.5,CA$30 for two,"Sushi, Japanese, Asian","1815 Rosser Avenue, Burnaby V5C 6R4",+16045592288,62,104
26,North Burnaby,La Villetta Ristorante,4.1,CA$50 for two,Italian,"3901 Hastings Street, Burnaby V5C 2J1",+16042993979,73,48
27,North Burnaby,Wah Lun Chinese Restaurant,3.5,CA$30 for two,"Chinese, Asian, Dim Sum","4524 Hastings Street, Burnaby V5C 2K6",+16042948059,74,111
28,North Burnaby,Cactus Club Cafe,3.8,CA$70 for two,Canadian,"4219, B Lougheed Highway, Burnaby, BC V6C 0A8, Burnaby V6C 0A8",+16042916606,111,119
29,North Burnaby,King Mahal Restaurant,4.0,CA$45 for two,Indian,"4051 Hastings Street, Burnaby V5C 2J3",+16042222253,83,56
30,North Burnaby,Triple Coconut Tree Restaurant,3.6,CA$30 for two,"Vietnamese, Asian","4124 Hastings Street, Burnaby V5C",+16045692812,103,33
31,North Burnaby,Caffe Artigiano,4.2,CA$20 for two,Cafe,"4359 Hastings Street, Burnaby V5C 2K1",+16044732180,105,33
32,North Burnaby,L'Artista Ristorante Italiano,3.5,CA$60 for two,Italian,"3891 Hastings Street, Burnaby V5C2H7",+16042988110,64,22
33,North Burnaby,Kamamarui Ramen & Don,3.1,CA$30 for two,"Japanese, Korean, Asian","4219 Hastings Street, Burnaby V5C",+17783798077,55,64
34,North Burnaby,Hot Oven Pizza and Pasta,4.0,CA$30 for two,"Italian, Pizza","5620 Hastings Street, Burnaby V5B 1R2",+16042994055,78,13
35,North Burnaby,Cristos Greek Taverna,3.7,CA$70 for two,Greek,"4624 Hastings Street, North Burnaby, Vancouver, Burnaby V5C 2K5",+16042990008,77,27
36,North Burnaby,Sushi Giwa,3.3,CA$30 for two,"Sushi, Japanese, Asian","5625 Hastings Street, Burnaby V5B 1R4",+16043365250,68,66
37,North Burnaby,Browns Socialhouse,3.2,CA$70 for two,Bar Food,"2 1908 Rosser Avenue, Burnaby V5C 3Z2",+16045688144,88,51
38,North Burnaby,Baci Ristorante,3.6,CA$70 for two,"Italian, Pizza","3728 Hastings Street, Burnaby V5C 2H7",+16042997047,64,25
