,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Port Coquitlam,Sushi K Kamizato,4.4,CA$40 for two,"Sushi, Japanese, Asian","Shaughnessy Station, 2850 Shaughnessy Street, Metro Vancouver V3C 0A4",+16044740022,245,275
1,Port Coquitlam,Santa Rosa,3.5,CA$15 for two,Mexican,"1585 Broadway Street, Metro Vancouver V3C 2M7",+17782859336,33,22
2,Port Coquitlam,Amigo Cafe,3.4,CA$30 for two,Diner,"2228 McAllister Avenue, Metro Vancouver V3C2A6",+16044642040,39,8
3,Port Coquitlam,IHOP,2.6,CA$25 for two,American,"Poco Place Shopping Center, 2755 Lougheed Highway, Port Coquitlam, Metro Vancouver, Metro Vancouver V3B 5Y9",+16049415345,46,18
4,Port Coquitlam,De Dutch Pannekoek House,3.5,CA$40 for two,European,"Westwood Centre, 200-2748 Lougheed Highway, Metro Vancouver V3C3L8",+16049443802,45,15
5,Port Coquitlam,KC's Cafe,3.8,CA$25 for two,Cafe,"8-1449 Prairie Avenue, Metro Vancouver V3C3V4",+16045540253,30,1
6,Port Coquitlam,Giggle Dam Dinner Theatre,3.5,CA$40 for two,Canadian,"2616 Shaughnessy Street, Metro Vancouver V3C0E1",+16049444453,25,0
7,Port Coquitlam,Luscious Creations,3.0,CA$10 for two,Bakery,"2233 McAllister Avenue, Metro Vancouver V3C2A5",+16044644668,15,7
8,Port Coquitlam,Suzette's Cafe,3.5,CA$20 for two,Fast Food,"205-1530 Kingsway, Metro Vancouver V3C6N6",+16044641199,12,3
9,Port Coquitlam,The Big Flat Pancake,3.9,CA$20 for two,"Cafe, Desserts, Bakery, American, Canadian","2020 Oxford Connector, Port Coquitlam, BC V3C 0A4, Metro Vancouver",+16042623410,4,8
10,Port Coquitlam,Waves Coffee,3.9,CA$20 for two,Cafe,"Poco Place, 2755 Lougheed Highway, Metro Vancouver V3B5Y9",+16044729283,7,23
11,Port Coquitlam,Sincerely Cafe,-,CA$20 for two,Cafe,"1140-551 Sherling Avenue, Metro Vancouver V3B",+16044756362,1,12
12,Port Coquitlam,Polonia Deli,-,CA$20 for two,"Eastern European, Deli","2338 Marpole Avenue, Metro Vancouver V3C2A1",+16044688748,3,0
13,Port Coquitlam,Canpol Deli,-,CA$15 for two,Deli,"3026 Flint Street, Metro Vancouver V3B",+16049454420,3,1
14,Port Coquitlam,A taste Of Ukraine Cafe,-,for two,"Ukrainian, Russian","Suite 105, 1611 Broadway Street, Metro Vancouver V3C 2M7",+16044740789,1,0
15,Port Coquitlam,Wah Wing Restaurant,4.2,CA$40 for two,"Chinese, Asian","Westwood Centre, 2748 Lougheed Highway, Metro Vancouver V3C 3L8",+16049453333,170,73
16,Port Coquitlam,Rainbow Butterfly,3.9,CA$35 for two,"Chinese, Asian","2850 Oxford Street, Metro Vancouver V3B 4B9",+16049443888,137,107
17,Port Coquitlam,Tip Thai Restaurant,4.1,CA$25 for two,"Thai, Asian","2606 Shaugnessy Street, Metro Vancouver V3C 3G5",+16044720005,116,29
