,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Renfrew-Collingwood,Congee Noodle King,4.3,CA$35 for two,"Chinese, Asian","3313 Kingsway, Vancouver V5R 4H3",+16044356670,321,249
1,Renfrew-Collingwood,Milk & Sugar Cafe,4.4,CA$25 for two,"Bubble Tea, Cafe, Ice Cream","3365 Suite 101 Kingsway, Vancouver V5R 5K6",+16045595477,233,89
2,Renfrew-Collingwood,Chili Pepper House,4.3,CA$35 for two,"Hakka Chinese, Asian","3003 Kingsway, Unit 1, Vancouver V5R 5J7",+16044318633,208,41
3,Renfrew-Collingwood,Kingsway Sushi,3.4,CA$60 for two,"Sushi, Japanese, Asian","3665 Kingsway, Vancouver V5R 2P9",+16044336388,196,313
4,Renfrew-Collingwood,Prince Seafood Restaurant,3.6,CA$50 for two,"Dim Sum, Chinese, Asian","2881 Grandview Highway, Vancouver V5M 2E1",+16044306808,157,212
5,Renfrew-Collingwood,Hyoga Japanese Cuisine,4.1,CA$35 for two,"Sushi, Japanese, Asian","3343 Suite 2 Kingsway, Vancouver V5R 5K6",+16044380066,100,67
6,Renfrew-Collingwood,Jambo Grill,4.0,CA$45 for two,"Indian, BBQ, African","3219 Kingsway, Vancouver V5R 4C7",+16044335060,135,65
7,Renfrew-Collingwood,Come Along Seafood Restaurant,3.8,CA$45 for two,"Dim Sum, Chinese, Asian","2550 Kingsway, Vancouver V5R 5H2",+16044391318,85,276
8,Renfrew-Collingwood,KIMU Japanese Cuisine,3.7,CA$20 for two,Japanese,"4441 Boundary Road, Vancouver V5R 2N3",+16045630722,46,138
9,Renfrew-Collingwood,Top Cantonese Cuisine Restaurant,3.6,CA$55 for two,"Chinese, Asian","2752 Kingsway, Vancouver V5R3M6",+16044361623,86,228
10,Renfrew-Collingwood,Ragazzi Pizza Co,4.0,CA$20 for two,Pizza,"2996 22nd Avenue East, Vancouver V5M2Y5",+16044332235,110,15
11,Renfrew-Collingwood,McKim Wonton Mein Saga,3.8,CA$30 for two,"Chinese, Asian","2780 Kingsway, Vancouver V5R5H6",+16044346655,79,132
12,Renfrew-Collingwood,Rose Garden Seafood Restaurant,3.9,CA$40 for two,"Chinese, Asian","3415 Kingsway, Vancouver V5R4K7",+16044518738,65,124
13,Renfrew-Collingwood,La Piazza Dario,3.5,CA$80 for two,Italian,"3075 Slocan Street, Vancouver V5M3E4",+16044302195,83,79
14,Renfrew-Collingwood,Kwan Luck Restaurant,3.9,CA$40 for two,"Chinese, Asian","2516 Kingsway, Vancouver V5R5H2",+16044313890,58,149
15,Renfrew-Collingwood,Li's China Grill,3.5,CA$30 for two,"Chinese, Asian","3377 Kingsway, Vancouver V5R5K6",+16045681832,49,76
16,Renfrew-Collingwood,Lotus Seed Vegetarian,3.3,CA$30 for two,"Vegetarian, Healthy Food","3665 Kingsway Street, Unit 180, Vancouver V5R 5W2",+16044317789,44,75
17,Renfrew-Collingwood,Gold Train Express Vietnamese,2.6,CA$20 for two,"Vietnamese, Asian","3320 Kingsway, Vancouver V5R5L1",+16044337577,117,25
18,Renfrew-Collingwood,Chong's Restaurant,3.3,CA$30 for two,"Dim Sum, Chinese, Asian","2532 Kingsway, Vancouver V5R5H2",+16044310998,31,132
19,Renfrew-Collingwood,Joojak Restaurant,3.7,CA$35 for two,"Chinese, Asian","3337 Kingsway, Vancouver V5R 5K6",+16045638816,40,59
20,Renfrew-Collingwood,Andamiro Korean Bistro,3.6,for two,Korean,"2568 Kingsway, Renfrew-Collingwood, Vancouver V5R 5H2",+16046202500,35,115
21,Renfrew-Collingwood,Happy Day Cafe,2.6,CA$25 for two,Chinese,"3312 Kingsway, Vancouver V5R 5K7",+16043076868,35,150
22,Renfrew-Collingwood,Joyce Jiaozi,3.9,CA$25 for two,Chinese,"5171 Joyce Street, Vancouver V5R4G8",+16044365678,59,23
23,Renfrew-Collingwood,Knight & Day,2.7,CA$55 for two,Diner,"3684 Lougheed Highway, Vancouver V5M 2A8",+16042997701,67,35
24,Renfrew-Collingwood,CoCo Fresh Tea & Juice,3.2,CA$10 for two,"Coffee and Tea, Bubble Tea, Juices","3275 Kingsway, Metro Vancouver, Vancouver V5R 5K4",+16046206255,40,30
25,Renfrew-Collingwood,Super Great Pizza,3.6,CA$10 for two,"Pizza, Fast Food","3388 Vanness Drive, Vancouver V5R",+16044330222,69,9
26,Renfrew-Collingwood,The Captain's Boil,3.2,CA$25 for two,"Cajun, Seafood","3309 Kingsway, Vancouver V5R 5K6",+16045653999,27,35
27,Renfrew-Collingwood,Donair Land,3.8,CA$20 for two,"Mediterranean, Middle Eastern","3384 Vanness Avenue, Vancouver V5R 5A7",+16045693971,54,10
28,Renfrew-Collingwood,Boston Pizza,3.0,CA$45 for two,"Pizza, Bar Food","2850 Bentall Street, Vancouver V5M 1Z5",+16044391132,55,58
29,Renfrew-Collingwood,Sushi Taku,3.1,CA$25 for two,Japanese,"4902 Joyce Street, Vancouver, Vancouver V5R 4G6",+16044541023,12,117
30,Renfrew-Collingwood,Sunflower Bubble Tea,2.7,CA$25 for two,"Bubble Tea, Taiwanese, Asian","5125 Joyce Street, Vancouver V5R",+16049090669,67,7
31,Renfrew-Collingwood,Bubble World,3.8,CA$30 for two,"Bubble Tea, Beverages, Asian","2-3377 Kingsway, Vancouver V5R5K6",+16044517658,58,27
32,Renfrew-Collingwood,Fresh Legend,3.0,CA$25 for two,"Desserts, Taiwanese, Asian","3393 Kingsway, Vancouver V5R 5H6",+16042650948,27,24
33,Renfrew-Collingwood,Yummy Mammy,3.8,CA$35 for two,"Chinese, Asian","4965 Joyce Street, Vancouver V5R4G7",+16045583988,29,35
34,Renfrew-Collingwood,Church's Chicken,3.8,CA$20 for two,Fast Food,"2504 Kingsway, Vancouver V5R 5G9",+16044385518,49,16
35,Renfrew-Collingwood,Yang's Chinese Noodle Restaurant,3.1,CA$25 for two,"Chinese, Asian","3048 Kingsway, Vancouver V5R5J7",+16045583048,18,30
36,Renfrew-Collingwood,Freshslice Pizza,3.4,CA$20 for two,"Pizza, Fast Food","5128 Joyce St, Vancouver V5R 6B8",+16045684003,30,49
37,Renfrew-Collingwood,Chuan Xiang Ju BBQ House,3.1,CA$40 for two,"Chinese, Asian","106-3399 Kingsway, Vancouver V5R5K6",+16046209050,21,23
38,Renfrew-Collingwood,Sing Kee,2.7,CA$30 for two,"Chinese, Asian","3479 Kingsway, Vancouver",+16044381010,24,29
39,Renfrew-Collingwood,Flip Side Desserts LTD.,2.6,CA$15 for two,Desserts,"5538 Joyce St, Vancouver, BC V5R 4H6, Canada, Vancouver",+16045597433,10,15
40,Renfrew-Collingwood,Lucky Plus,2.7,CA$25 for two,Chinese,"3823 Rupert Street, Vancouver V5R 2G7",+16044380033,26,50
41,Renfrew-Collingwood,Dharma Garden Veggie Deli,3.3,CA$20 for two,Vietnamese,"3195 Kingsway, Vancouver V5R5K2",+17788009714,19,23
42,Renfrew-Collingwood,Tim Hortons,2.6,CA$20 for two,"Fast Food, Cafe","5055 Joyce Street Unit 150, Vancouver V5R",+16044333354,10,42
43,Renfrew-Collingwood,Sushi Royal House,2.9,CA$25 for two,"Sushi, Japanese, Asian","2893 Grandview Highway, Vancouver V5M 2E1",+16044360890,22,21
44,Renfrew-Collingwood,McDonald's,2.6,CA$20 for two,Fast Food,"2909 Grandview Highway, Vancouver V5M 2E4",+16047181010,24,19
45,Renfrew-Collingwood,Plato Filipino,3.3,CA$25 for two,Filipino,"5175 Joyce Street, Vancouver V5R 4G8",+16045599155,14,16
46,Renfrew-Collingwood,Wendy's,3.5,CA$20 for two,Fast Food,"3698 Grandview Highway, Vancouver V5M 2G9",+16044333431,17,45
47,Renfrew-Collingwood,Dumpling House,3.1,CA$20 for two,"Chinese, Northern Chinese","3141 Kingsway, Vancouver V5R 5J9",+17785881227,9,7
48,Renfrew-Collingwood,Triple O's,3.8,CA$25 for two,Fast Food,"Inside Chevron Gas Station, 3505 Grandview Highway, Vancouver V5M2H3",+16044384352,15,21
49,Renfrew-Collingwood,Pizza Hut,3.0,CA$20 for two,"Pizza, Fast Food","2850 Grandview Highway, Vancouver V5M2C9",+16043101010,18,32
50,Renfrew-Collingwood,Whiskey Six BBQ,3.4,CA$20 for two,"BBQ, Bar Food","826 Renfrew Street, Vancouver V5K 4B6",+16044284050,9,19
51,Renfrew-Collingwood,Beijiang Restaurant,3.1,CA$30 for two,"Chinese, Northern Chinese, Xinjiang","3281 Kingsway Vancouver, Vancouver",+16047287887,9,6
52,Renfrew-Collingwood,720 Sweets,3.2,CA$20 for two,"Ice Cream, Desserts","2675 Kingsway, Metro Vancouver, Vancouver V5R 5H4",Not available for this place,7,11
53,Renfrew-Collingwood,Starbucks,3.5,CA$20 for two,Cafe,"2840 Bentall Street, Vancouver V5M1Z5",+16044347114,12,17
54,Renfrew-Collingwood,Dairy Queen,3.5,CA$20 for two,"Fast Food, Desserts","2940 Kingsway Avenue, Vancouver V5R5J3",+16044374021,13,15
55,Renfrew-Collingwood,Pho 99,2.9,CA$40 for two,Vietnamese,"2915 Hebb Avenue, Vancouver, Vancouver",+16042553135,4,15
56,Renfrew-Collingwood,Subway,2.5,CA$25 for two,Fast Food,"5218 Joyce Street, Vancouver V5R 4G8",+16044357827,7,13
57,Renfrew-Collingwood,Rib & Chicken,-,for two,Korean,"1660 Renfrew Street, Renfrew-Collingwood, Vancouver, Vancouver",+16042432550,1,6
58,Renfrew-Collingwood,Manila Grille,-,CA$25 for two,Filipino,"5179 Joyce Street, Metro Vancouver, Vancouver V5R 4GB",+17783797003,2,16
59,Renfrew-Collingwood,Michi Craft Kitchen,-,CA$20 for two,Asian Fusion,"Unit 180 - 3665 Kingsway, Vancouver, Vancouver",+16043369968,1,5
60,Renfrew-Collingwood,Dynastea,-,for two,"Cafe, Coffee and Tea, Bubble Tea","2909 2nd Avenue East, Vancouver V5M 1E6",+17789899600,1,1
61,Renfrew-Collingwood,Ding Tea,-,CA$10 for two,"Bubble Tea, Cafe","1808 Renfrew St, Renfrew-Collingwood, Vancouver, BC V5M 3H9, Vancouver",+16046200568,2,0
62,Renfrew-Collingwood,Dami Sushi & Korean Restaurant,-,CA$80 for two,"Korean, Japanese","3280 E 22nd Ave, Renfrew-Collingwood, Vancouver, Vancouver",+16044318887,2,0
63,Renfrew-Collingwood,Fiesta Sa Barrio,-,CA$15 for two,"Filipino, Asian","5175 Joyce Street, Vancouver",+16045599155,2,3
64,Renfrew-Collingwood,iSushi,-,CA$35 for two,"Japanese, Sushi","3883 Rupert St, Renfrew-Collingwood, Vancouver, Vancouver",+16043366553,2,0
65,Renfrew-Collingwood,Metro Coffee Bar And Billiards,-,CA$10 for two,Cafe,"3175 Kingsway, Vancouver V5R5J9",+16044379613,1,3
66,Renfrew-Collingwood,Ricky's Country Restaurant,-,CA$25 for two,Grill,"2350 Boundary Road, Burnaby, Vancouver V5M 3Z3",+16042931242,0,0
67,Renfrew-Collingwood,Tim Hortons,-,CA$20 for two,Cafe,"2899 East 12th Avenue, Vancouver",+16046205044,0,1
68,Renfrew-Collingwood,Panaderia Latina Bakery,4.1,CA$20 for two,Latin American,"4906 Joyce Street, Vancouver V5R4G7",+16044391414,68,90
69,Renfrew-Collingwood,Pho Nhuan,3.7,CA$20 for two,"Vietnamese, Asian","2991 Rupert Street, Vancouver V5M",+16044348681,62,20
70,Renfrew-Collingwood,Japanese Bistro Kamome,3.4,CA$20 for two,Japanese,"5228 Joyce Street, Vancouver V5R 6C9",+16044285228,13,104
71,Renfrew-Collingwood,The Sea House Fish and Chips,3.8,CA$20 for two,Fast Food,"7-3003 Kingsway, Vancouver V5R4A4",+16044337807,29,19
