,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Riley Park & Little Mountain,Hawker's Delight,4.3,CA$20 for two,"Malaysian, Singaporean","4127 Main Street, Vancouver V5V 3P6",+16047098188,519,225
1,Riley Park & Little Mountain,Long's Noodle House,4.5,CA$30 for two,"Chinese, Asian","4853 Main Street, Vancouver V5V",+16048797879,509,422
2,Riley Park & Little Mountain,Sawasdee Thai Restaurant,4.7,CA$40 for two,Thai,"4250 Main Street, Vancouver V5V 3R1",+16048764030,501,225
3,Riley Park & Little Mountain,Seasons in the Park,4.4,CA$70 for two,Canadian,"West 33rd Avenue and Cambie Street, Vancouver V5Y 2M4",+16048748008,569,296
4,Riley Park & Little Mountain,Zakkushi Charcoal Grill,4.3,CA$25 for two,Japanese,"4075 Main Street, Vancouver V5V 5C8",+16048749455,410,522
5,Riley Park & Little Mountain,The Acorn,4.3,CA$70 for two,Fusion,"3995 Main Street, Vancouver V5V3P3",+16045669001,305,185
6,Riley Park & Little Mountain,East Is East,4.4,CA$50 for two,"Indian, Middle Eastern","4433 Main Street, Vancouver V5V0A2",+16045654401,465,158
7,Riley Park & Little Mountain,Sweet Revenge Patisserie,4.1,CA$25 for two,"Desserts, Cafe","4160 Main Street, Vancouver V5V 3P7",+16048797933,422,115
8,Riley Park & Little Mountain,Trilussa Pizza & Pane,4.5,CA$25 for two,Pizza,"4363 Main Street, Vancouver V5V3R1",+16045583338,263,89
9,Riley Park & Little Mountain,Sun Sui Wah Seafood Restaurant,4.1,CA$50 for two,"Seafood, Chinese","3888 Main Street, Vancouver V5V 3P2",+16048728822,473,360
10,Riley Park & Little Mountain,Corner 23,4.1,CA$30 for two,"Chinese, Taiwanese","4008 Cambie Street, Vancouver V5Y2H5",+16048798815,388,174
11,Riley Park & Little Mountain,Grub,4.5,CA$80 for two,Seafood,"4328 Main Street, Vancouver V5V 3P9",+16048768671,269,65
12,Riley Park & Little Mountain,The Fish Counter,4.2,CA$30 for two,Seafood,"3825 Main Street, Vancouver V5V 3P2",+16048763474,168,131
13,Riley Park & Little Mountain,El Camino's,4.1,CA$45 for two,"Mexican, Latin American","3250 Main Street, Riley Park & Little Mountain, Vancouver, Vancouver V5V3M6",+16048756246,232,92
