,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,South Burnaby,Hi Genki,4.8,CA$25 for two,"Japanese, Asian","6680 Southoaks Crescent, Burnaby V5E 4N3",+16047770533,508,452
1,South Burnaby,Kamamarui Ramen & Don,4.2,CA$30 for two,"Japanese, Korean, Asian","6514 Royal Oak Avenue, Burnaby V5H 3P4",+16044351675,342,196
2,South Burnaby,The One Restaurant,3.8,CA$35 for two,"Taiwanese, Asian, Bubble Tea","5908 Kingsway, Burnaby V5J 5A6",+16045691866,463,321
3,South Burnaby,Potter's Garden Korean BBQ,4.1,CA$40 for two,"Korean, Asian","5599 Kingsway, Burnaby V5H 4W7",+16044310208,290,243
4,South Burnaby,Hanwoori Korean Restaurant,4.2,CA$40 for two,"Korean, Asian","5740 Imperial Street, Burnaby V5J 1G1",+16044390815,292,194
5,South Burnaby,JY Noodle - No. 1 Beef Noodle House,4.1,CA$35 for two,"Taiwanese, Asian, Bubble Tea","4741 Willingdon Avenue, Burnaby V5G 3H5",+16044386648,275,264
6,South Burnaby,Camellia Tea & Coffee,4.0,CA$25 for two,"Cafe, Desserts","104-6888 Royal Oak Avenue, Burnaby V5J 4J2",+16044286511,150,140
7,South Burnaby,Isami Sushi,4.1,CA$30 for two,"Sushi, Japanese, Asian","4603 Kingsway, Burnaby V5H 4L3",+16044341212,148,116
8,South Burnaby,Makoto,4.1,CA$30 for two,"Sushi, Japanese, Asian","5213 Rumble Street, Burnaby V5J",+16044381997,162,80
9,South Burnaby,Trattoria Italian Kitchen,3.1,CA$80 for two,"Italian, Pizza","4501 Kingsway, Suite 102 Burnaby, Burnaby V5H 2A9",+16044248779,145,239
10,South Burnaby,Alvin Garden,4.0,CA$35 for two,"Chinese, Asian","4850 Imperial Street, Burnaby V5J 1C4",+16044370828,106,104
