,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,South Surrey,My Shanti,4.1,CA$75 for two,Indian,"Morgan Crossing, 15869 Croydon Drive, Surrey V3S0G2",+16045604416,133,69
1,South Surrey,Roadhouse Grille,4.1,CA$45 for two,Diner,"1781 King George Boulevard, Surrey V4A2A9",+16045313167,142,45
2,South Surrey,Kami Japanese Restaurant,4.5,CA$40 for two,"Sushi, Japanese, Asian","Grandview Corners, 40-2215 160 Street, Surrey V3S9N6",+16045365360,130,50
3,South Surrey,Five Guys,4.0,CA$20 for two,"Fast Food, Burger","Grandview Corners, 80-2245 160th Street, Surrey V3S9N6",+16045317829,135,31
4,South Surrey,MaguroGuy Asian Cuisine,4.0,CA$50 for two,"Sushi, Japanese, Asian","Tribeca, 320-2670 152nd Street, Surrey V4P1M8",+16045601424,92,59
5,South Surrey,Famoso Neapolitan Pizzeria,3.9,CA$65 for two,"Italian, Pizza","15865 Croydon Dr, Pad 3, Surrey V3S 2J6",+16045609544,114,65
6,South Surrey,Cactus Club Cafe,4.1,CA$70 for two,Canadian,"15079 32nd Avenue, Surrey V3S 0G3",+16045358799,134,50
7,South Surrey,Rasoi Restaurant Inc,4.2,CA$50 for two,Indian,"Alder Crossing, 3268 King George Highway, Surrey V4P 1A5",+16045364600,101,8
8,South Surrey,Curry Sensation,4.0,CA$35 for two,Indian,"16030 24 Ave #130, Surrey V4P1G6",+16045387333,105,36
9,South Surrey,Hanaya Japanese Restaurant,4.1,CA$35 for two,"Sushi, Japanese, Asian","106-2828 152nd Street,, Surrey V4P 1G6 1G6",+16045426311,85,104
10,South Surrey,Mink Chocolates,4.0,CA$20 for two,"Cafe, Desserts","Morgan Crossing, 110-15775 Croydon Drive, Surrey V3S0C5",+16045365455,70,20
11,South Surrey,KW Gardens,3.7,CA$50 for two,"Chinese, Asian","2338 King George Boulevard, Surrey V4A5A5",+16045388863,81,4
12,South Surrey,The Keg Steakhouse + Bar - Morgan Creek,3.9,CA$90 for two,"Steak, Seafood","15180 32nd Ave. Diversion, Surrey V3Z 3M1",+16045429733,84,28
13,South Surrey,Delrios,3.6,CA$55 for two,"Pizza, Italian","1669 128th Street, Surrey V4A3V3",+16045362544,66,15
14,South Surrey,Tap Urban Cafe & Lounge,4.0,CA$80 for two,Pacific Northwest,"101-15350 34 Ave, Surrey, Surrey V3S0K6",+16045361954,53,17
15,South Surrey,Panda Szechuan,3.4,CA$35 for two,"Dim Sum, Chinese, Asian","15080 32 Avenue, Surrey, Surrey V6P 3K1",+16045601777,44,25
16,South Surrey,Ocean Park Pizza & Village Pub,4.0,CA$40 for two,"Bar Food, Pizza, Greek","12822 16th Avenue, Surrey V4A1N4",+16045369654,62,6
17,South Surrey,Kiki's Restaurant,3.7,CA$50 for two,Greek,"Windsor Square, 118-1959 152nd Street, Surrey V4A9E3",+16045368244,52,19
18,South Surrey,Kababji Grill,3.4,CA$30 for two,"Mediterranean, Lebanese","Morgan Crossing, 106-15775 Croydon Drive, Surrey V3Z2L6",+16045605757,41,19
19,South Surrey,Townhall Public House,3.1,CA$55 for two,Bar Food,"3140 King George Boulevard, Surrey V4P1A5",+16043851191,42,31
20,South Surrey,Milestones,3.8,CA$65 for two,"Canadian, Grill","3085 152 St, South Surrey, Surrey, Surrey V4P 3K1",+16045423750,52,47
21,South Surrey,Menchies Frozen Yogurt,4.0,CA$15 for two,"Frozen Yogurt, Desserts","Morgans Crossing, 120-15575 Croydon Drive, Surrey V3S0G2",+16045606111,53,20
22,South Surrey,The Cabin,3.6,CA$40 for two,"Seafood, Steak, Canadian","Crescent Beach, 12302 Beecher Street, Surrey V4A3J4",+16045418432,31,19
23,South Surrey,Yamako Japanese Restaurant,3.9,CA$35 for two,"Sushi, Japanese, Asian","Pensinsula Village, 260-15355 24th Avenue, Surrey V4A2H9",+16045359998,34,6
24,South Surrey,Maple Sushi Japanese Restaurant,2.7,CA$45 for two,"Sushi, Japanese, Asian","2385 King George Blvd, Surrey, Surrey V4A5A4",+16045384812,38,25
25,South Surrey,Rokku Asian Cuisine,3.4,CA$40 for two,"Sushi, Japanese, Asian","1990 152 Street, Surrey V4A4N6",+16045609893,22,51
26,South Surrey,Sammy J's Bar & Grill,2.9,CA$40 for two,"Bar Food, Canadian",N/A,N/A,0,25
27,South Surrey,The Tudor Ale House,3.9,CA$50 for two,Bar Food,"187-176th Street, Surrey V3S9S4",+17782941080,44,5
28,South Surrey,Sakuya Sushi,3.5,CA$35 for two,"Sushi, Japanese, Asian","1593 128th Street, Surrey V4A1N4",+16045355082,45,4
29,South Surrey,Bamboo Chinese Restaurant,3.4,CA$40 for two,"Chinese, Asian","Morgan Crossing, 105-15785 Croydon Drive, Surrey V3S2L6",+16043852256,28,29
30,South Surrey,Damiko Sushi,3.7,CA$30 for two,"Sushi, Japanese, Asian","Shops Of High Street, 140-2950 King George Boulevard, Surrey V4P1A2",+16045310006,41,13
