,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Victoria-Fraserview & Killarney,Chosun Korean Restaurant,4.2,CA$45 for two,"Korean, Asian","3486 Kingsway, Vancouver V5R5L3",+16044341222,315,227
1,Victoria-Fraserview & Killarney,Icy Bar,4.0,CA$25 for two,"Bubble Tea, Desserts, Asian","3618 Kingsway, Vancouver V5R5M2",+16045008922,180,144
2,Victoria-Fraserview & Killarney,Romer's,3.7,CA$45 for two,"Burger, Bar Food","8683 Kerr Street, Vancouver V5S 4V7",+16045669545,234,164
3,Victoria-Fraserview & Killarney,Neighbour's Restaurant & Pizza House,4.1,CA$50 for two,"Pizza, Italian, Greek","6493 Victoria Drive, Vancouver V5P3X7",+16043271457,175,95
4,Renfrew-Collingwood,Max's Restaurant,3.2,CA$45 for two,"Filipino, Asian","Circle Square, 3546 Kingsway, Vancouver V5R 5L7",+16044353505,148,149
5,Victoria-Fraserview & Killarney,Mui Garden,3.8,CA$45 for two,"Chinese, Asian","5797 Victoria Drive, Vancouver V5P",+16043243665,118,107
6,Victoria-Fraserview & Killarney,Wang's Shanghai Cuisine,3.7,CA$40 for two,Chinese,"3328,Kingsway, Vancouver V5T 5L1",+16044286818,47,178
7,Victoria-Fraserview & Killarney,Marui Bakery,4.0,CA$10 for two,Bakery,"230-3340 Kingsway, Vancouver V5R5L1",+16044317707,54,38
8,Victoria-Frasierview & KIllarney,Yu Ki BBQ Kitchen,3.7,CA$25 for two,"Chinese, BBQ","Killarney Centre, 2609 East 49th Avenue, Vancouver V5S1J9",+16044388999,54,91
9,Victoria-Fraserview & Killarney,Nishiki Sushi,2.6,CA$30 for two,"Sushi, Japanese, Asian","6501 Victoria Drive, Vancouver V5P3X9",+16043230002,81,36
10,Victoria-Fraserview & Killarney,Jun Yuan,3.4,CA$50 for two,"Chinese, Asian","5728 Victoria Drive, Vancouver V5P 3W6",+16043231918,36,44
11,Victoria-Fraserview & Killarney,Lucky Dragon Palace Restaurant,3.2,CA$45 for two,"Dim Sum, Chinese, Asian","5822 Victoria Drive, Vancouver V5P3W9",+16043250783,20,131
12,Marpole,54th Ave. Cafe Restaurant,2.0,CA$45 for two,"Chinese, Asian","Champlain Square, 7010 Kerr Street, Vancouver V5S3E2",+16044326099,84,22
13,Victoria-Fraserview & Killarney,Kim Phung,3.7,CA$25 for two,"Vietnamese, Asian","5764 Victoria Drive, Vancouver V5P",+16043274490,49,19
14,Victoria-Fraserview & Killarney,Old Xian's Food,3.2,CA$25 for two,"Chinese, Asian","3510 Kingsway, Vancouver",+17783795822,23,34
15,Victoria-Fraserview & Killarney,Flamingo Chinese Restaurant,3.5,CA$25 for two,"Chinese, Dim Sum","1652 SE Marine Dr, Vancouver V5P 2R6",+16043254511,9,82
16,Victoria-Fraserview & Killarney,Thai Son Restaurant,3.4,CA$25 for two,Vietnamese,"6471 Victoria Drive, Vancouver V5P 3X5",+16043256436,27,15
17,Victoria-Fraserview & Killarney,Westcoast Darts Cafe,3.6,CA$20 for two,"Cafe, Coffee and Tea","3608 Kingsway, Vancouver V5R 5M2",+17783799901,4,15
18,Victoria-Fraserview & Killarney,Hometown Pizza,3.4,CA$30 for two,"Pizza, Fast Food","1408 East 57th Avenue, Vancouver V5P2A9",+16043242222,29,3
19,Victoria-Fraserview & Killarney,Grand Chinese Hot Pot,3.6,CA$35 for two,"Chinese, Asian, Bubble Tea","6967 Victoria Drive, Vancouver V5P3Y7",+16044351258,13,9
20,Marpole,A&W,3.8,CA$20 for two,Fast Food,"Champlain Square, 7010 Kerr Street, Vancouver V5S3E2",+16044354311,17,12
21,Victoria-Fraserview & Killarney,Love for Pho,3.0,CA$20 for two,Vietnamese,"3524 Kingsway Street, Vancouver V5R 5X4",+16045688884,13,21
22,Victoria-Fraserview & Killarney,La Tandoori,3.0,CA$30 for two,Indian,"6489 Victoria Drive, Vancouver V5P3X7",+16043231717,15,4
23,Victoria-Fraserview & Killarney,On May Chinese Restaurant,3.0,CA$25 for two,"Chinese, Asian","6443 Victoria Drive, Vancouver V5P3X6",+16043210811,15,5
24,Victoria-Fraserview & Killarney,Panago,3.6,CA$30 for two,"Pizza, Fast Food","5738 Tyne Street, Vancouver V5R4L6",+16043100001,9,25
25,Victoria-Fraserview & Killarney,Katei Sushi,2.6,CA$25 for two,"Sushi, Japanese, Asian","6929 Victoria Drive, Vancouver V5P3Y7",+16043238882,8,7
26,Victoria-Fraserview & Killarney,Weirdo Cafe,3.5,CA$35 for two,Cafe,"6459 Victoria Drive, Victoria-Fraserview, Vancouver, Vancouver",+16045598836,7,4
27,Victoria-Fraserview & Killarney,Peaceful Restaurant,2.5,CA$10 for two,"Chinese, Shanghai","3320 Kingsway, Vancouver, Vancouver V5R 5L1",+16044281168,4,20
28,Victoria-Fraserview & Killarney,Village Pub,3.0,CA$40 for two,Bar Food,"7725 Champlain Crescent, Vancouver V5S",+16044331111,8,4
29,Victoria-Fraserview & Killarney,Domino's,3.7,CA$20 for two,"Pizza, Fast Food","5522 Joyce Street, Vancouver V5R4H6",+16044363030,8,10
30,Victoria-Frasierview & KIllarney,Starbucks,3.7,CA$20 for two,Cafe,"Killarney Centre, 2685 East 49th Avenue, Vancouver V5S1J9",+16044519051,10,18
31,Victoria-Fraserview & Killarney,Ichikame Shokudo,-,for two,Japanese,"6956 Victoria Drive Vancouver, Vancouver",+16043251256,2,11
32,Victoria-Fraserview & Killarney,Sharetea,3.5,CA$15 for two,"Beverages, Bubble Tea","3619 Kingsway, Vancouver, BC V5R 5M1, Canada, Victoria-Fraserview & Killarney, Vancouver, Vancouver",+16044233619,4,3
33,Victoria-Fraserview & Killarney,Papa John's Pizza,3.2,CA$25 for two,"Pizza, Fast Food","#300-3320 Kingsway, Vancouver V5R5L1",+16043107272,10,20
34,Marpole,Subway,2.7,CA$25 for two,Fast Food,"Champlain Square, 7010 Kerr Street, Vancouver V5S3E3",+16045691881,5,15
35,Victoria-Fraserview & Killarney,Shun Fa Noodle House,2.6,CA$30 for two,Chinese,"5763 Victoria Dr, Vancouver, Vancouver",+16046202018,4,6
36,Victoria-Fraserview & Killarney,The First Dessert,-,for two,"Desserts, Chinese","5857 Victoria Dr, Victoria-Fraserview & Killarney, Vancouver, Vancouver",+17785225857,3,0
37,Victoria-Fraserview & Killarney,Myungdong Snack House,-,CA$20 for two,Korean,"7, 3490 Kingsway, Vancouver V5R 5L6",+16044515177,2,1
38,Victoria-Fraserview & Killarney,Kung Fu Noodle,-,CA$20 for two,Chinese,"5615 Harold Street, Metro Vancouver, BC, Vancouver",+16045598868,2,3
39,Victoria-Fraserview & Killarney,Happy Lemon,-,CA$20 for two,Bubble Tea,"3520 Kingsway, Vancouver, BC V5R 5L7, Vancouver",+116046208058,2,0
40,Victoria-Fraserview & Killarney,Jenjudan - Kingsway,-,CA$30 for two,"Desserts, Bubble Tea","3490 Kingsway, Fraserview & Killarney, Vancouver BC V5R 5L6, Vancouver",+16045636768,2,0
