,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,West End,Kingyo Izakaya,4.9,CA$60 for two,"Sushi, Japanese, Asian","871 Denman Street, Vancouver V6G 2LN",+16046081677,0,777
1,West End,Hokkaido Ramen Santouka,4.6,CA$30 for two,"Ramen, Japanese","1690 Robson Street, Vancouver V6G 1C7",+16046818121,0,491
2,West End,Nero Belgian Waffle Bar,4.7,CA$25 for two,"Desserts, Cafe","1703 Robson Street, Vancouver V6G1C8",+17787120694,0,386
3,West End,Thierry Chocolaterie Patisserie Cafe,4.3,CA$35 for two,"Desserts, Cafe","1059 Alberni Street, Vancouver V6E 1A1",+16046086870,0,537
4,West End,Joe Fortes Seafood & Chop House,4.5,CA$90 for two,"Seafood, Steak","777 Thurlow Street, Vancouver V6E 3V5",+16046691940,0,541
5,West End,Guu Original,4.8,CA$55 for two,"Japanese, Asian, Tapas","838 Thurlow Street, Vancouver V6E 1W2",+16046858817,0,328
6,West End,Stepho's Souvlaki Greek Taverna,4.1,CA$40 for two,"Greek, Mediterranean","1124 Davie Street, Vancouver V6E 1N1",+16046832555,0,273
7,West End,Kintaro Ramen,4.3,CA$30 for two,"Ramen, Japanese, Asian","788 Denman Street, Vancouver V6G 2L5",+16046827568,0,183
8,West End,Le Crocodile,4.7,CA$120 for two,French,"909 Burrard Street, Vancouver V6E 4T4",+16046694298,667,402
9,West End,Guu With Garlic,4.6,CA$40 for two,"Japanese, Asian, Tapas","1698 Robson Street, Vancouver V6G 1C7",+16046858678,891,415
10,West End,Motomachi Shokudo,4.3,CA$35 for two,"Ramen, Japanese, Asian","740 Denman Street, Vancouver V6G",+16046090310,582,222
11,West End,Forage,4.2,CA$70 for two,Canadian,"1300 Robson Street, Vancouver V6E 1C5",+16046848461,478,335
12,West End,Marutama Ra-men,4.4,CA$35 for two,Ramen,"780 Bidwell Street, Vancouver V6G 1C8",+16046888837,518,258
13,West End,Zakkushi Charcoal Grill,4.4,CA$25 for two,Japanese,"823 Denman Street, Vancouver V6G 2L6",+16046851136,471,236
14,West End,La Belle Patate,4.4,CA$25 for two,"Canadian, Fast Food","1215 Davie Street, Vancouver V6E 1N4",+16045691215,433,94
15,West End,Italian Kitchen,4.0,CA$80 for two,Italian,"860 Burrard Street, Vancouver, BC, Vancouver V6Z 1X9 1A1",+16046872858,632,216
16,West End,Coast Restaurant,3.9,CA$50 for two,"Seafood, Steak","1054 Alberni Street, Vancouver V6Z2V6",+16046855010,562,242
17,West End,Sura Korean Cuisine Restaurant,4.4,CA$55 for two,"Korean, Seafood, Asian","1518 Robson Street, Vancouver V6G 1C3",+16046877872,386,194
18,West End,CinCin Ristorante + Bar,4.1,CA$140 for two,Italian,"1154 Robson Street, Vancouver V6E1B2",+16046887338,426,187
19,West End,Black + Blue,2.9,CA$130 for two,"Steak, Seafood","1032 Alberni Street, Vancouver V6Z 2V6",+16046370777,522,362
20,West End,Nook,4.5,CA$50 for two,"Italian, Pizza","781 Denman Street, Vancouver V6G2L6",+16045684554,326,90
21,West End,MDG Ma Dang Goul,4.3,CA$40 for two,"Korean, Asian","847 Denman Street, Vancouver V6G2L7",+16046883585,306,135
22,West End,The Teahouse,4.4,CA$90 for two,Seafood,"Stanley Park, 7501 Stanley Park Drive, Vancouver V6G 3E2",+16046693281,289,243
