,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Whalley,Pho Tam,4.6,CA$30 for two,"Vietnamese, Asian","Andes Plaza, 10-10302 City Parkway, Surrey, Surrey V3T 4Y8",+16045894223,290,78
1,Whalley,Sushi & Roll,4.1,CA$30 for two,"Sushi, Japanese, Asian","103-10241 King George Boulevard, Surrey, Surrey V3T 2W6",+16044984568,248,229
2,Whalley,Bubble 88,4.2,CA$30 for two,"Dim Sum, Chinese, Taiwanese, Bubble Tea, Asian","Plaza 102, 10209 King George Boulevard, Surrey V3T 2W6",+17783958899,173,125
3,Whalley,Taste Of Punjab,3.6,CA$45 for two,"Fusion, Indian","King George Centre, 10009 Whalley Boulevard, Surrey V3T 1H9",+16045887700,168,71
4,Whalley,Nahm Thai Bistro,4.1,CA$60 for two,"Thai, Asian","202-13650 102 Avenue, Surrey V3T 2W5",+16049308833,151,46
5,Whalley,Central City Brewing Co.,3.5,CA$55 for two,Bar Food,"Central City, 13450 102 Avenue, Surrey V3T 5X4",+16045826620,123,59
6,Whalley,Neptune Seafood Restaurant,3.4,CA$65 for two,"Dim Sum, Cantonese, Chinese, Asian","Central City, 10153 King George Boulevard, Surrey V3T 2W1",+16044958886,126,108
7,Whalley,Fresgo Inn Restaurant & Bakery,4.0,CA$50 for two,"Canadian, Bar Food","10102 King George Boulevard, Surrey V3T 2W4",+16045880878,114,46
8,Whalley,King Do Restaurant,3.7,CA$35 for two,"Dim Sum, Chinese, Asian","13922 104 Avenue, Surrey V3T 1X2 1X2",+16045826911,68,63
9,Whalley,Lotus Chinese Restaurant,3.8,CA$35 for two,"Dim Sum, Chinese, Asian","8939 Scott Road, Surrey V4C 3H5",+17785937366,84,32
10,Whalley,Vlassis Souvlaki & Greek Taverna,4.0,CA$40 for two,"Greek, Italian","10028 King George Highway, Surrey V3T 2W4",+16045841884,74,6
11,Whalley,Mahek Restaurant & Lounge,4.1,CA$45 for two,Indian,"9470 120 Street, Surrey V3V4B9",+16045853331,81,18
12,Whalley,All About Pho,2.7,CA$30 for two,"Vietnamese, Asian","10190 King George Boulevard, Surrey V3T 2W4",+16044980222,85,22
13,Whalley,Red Hot Chili Pepper,3.5,CA$35 for two,"Hakka Chinese, Chinese, Asian","12790 96 Avenue, Surrey V3V 1X7",+16045839987,71,8
14,Whalley,Doni Korean Restaurant,3.6,CA$30 for two,"Japanese, Korean, Asian","24-10592 King George Boulevard, Surrey V3T2X3",+16045818808,30,52
15,Whalley,Mehfil India Restaurant & Sweets,3.7,CA$35 for two,Indian,"9570 120 Street, Surrey V3V 4C1",+16045873200,52,32
16,Whalley,Sushi Plus,3.9,CA$30 for two,"Sushi, Japanese, Asian","103-10777 University Drive, Surrey V3T 5T6",+16045887587,69,5
17,Whalley,Sushi King George,3.4,CA$25 for two,"Sushi, Sandwich, Canadian","10344 King George Boulevard, Suite 102, Surrey, Surrey V3T 2W5",+17783958989,28,59
18,Whalley,Asian Spice,3.7,CA$45 for two,"Chinese, Indian, Asian","9436 Scott Road, Surrey V3V 4B9",+16045828388,41,23
19,Whalley,An Pho Vietnamese Restaurant,3.8,CA$25 for two,"Vietnamese, Asian","Plaza 104, 13784 104 Avenue, Surrey V3T 4H4",+16045898919,23,28
20,Whalley,Top King's Chinese Restaurant and Cafe,3.7,CA$30 for two,"Chinese, Asian","101-10294 City Parkway, Surrey V3T4Y8",+16049306688,38,8
21,Whalley,Chatime,3.4,CA$15 for two,"Beverages, Bubble Tea","10255 King George Boulevard, Surrey V3T 2W6",+16045886863,31,47
22,Whalley,Mal Li Jang Sung,3.8,CA$50 for two,"Chinese, Korean, Asian","13648 105A Avenue, Surrey V3T4B9",+16045886100,30,25
23,Whalley,White Spot,3.0,CA$50 for two,Canadian,"13580 102 Avenue, Surrey V3T4X8",+16045812511,43,40
24,Whalley,Bozzinis Restaurant,3.0,CA$45 for two,"Canadian, Fusion","13655 104 Avenue, Ste 104, Surrey V3T 2W8",+16045886880,29,23
25,Whalley,Izumo Sushi Japanese Restaurant,3.3,CA$45 for two,"Sushi, Japanese, Asian","King George Centre, 13631 100 Avenue, Surrey V3T 1H9",+16045893405,36,22
26,Whalley,Rickshaw,2.2,CA$30 for two,"Dim Sum, Chinese, Asian","10505 King George Boulevard, Surrey V3T2W9",+16045811161,34,21
27,Whalley,Knight & Day,3.0,CA$45 for two,Diner,"9677 King George Boulevard, Surrey V3T 2V3",+16045887575,28,21
28,Whalley,Chicken World,3.1,CA$20 for two,Fast Food,"Cedar Hills Plaza, 12842 96 Avenue, Surrey V3V 6A8",+16045880221,31,10
29,Whalley,Boston Pizza,3.2,CA$45 for two,"Pizza, Bar Food","#1081 - 10153 King George Hwy, Surrey V3T 2W1",+16045826795,29,36
30,Whalley,Ricky's All Day Grill,3.3,CA$50 for two,"Grill, Bar Food","1076 Central City, Surrey V3T2W1",+16045822545,30,26
31,Whalley,Uncle Fatih's Pizza,3.5,CA$25 for two,"Pizza, Fast Food","101-10277 City Parkway, Surrey",+16044981010,22,10
32,Whalley,Super Pho VN,3.7,CA$35 for two,"Vietnamese, Asian","9544 120 St, Surrey, Surrey V3V 4C1",+16045810122,12,23
33,Whalley,Mr Pickwick's Fish & Chips,3.6,CA$25 for two,Fish and Chips,"Cedar Hills Plaza, 12884 96 Avenue, Surrey V3V6A8",+16049302008,21,9
34,Whalley,Neptune Wonton Noodle,3.3,CA$40 for two,"Cantonese, Chinese","Central City, 10153 King George Boulevard, Surrey V3T 2W3",+16044958882,24,19
35,Whalley,Pho Hoa Hong,3.2,CA$35 for two,"Vietnamese, Asian","Andes Plaza, 4-10302 City Parkway, Surrey V3T 4Y8",+16045888890,22,8
36,Whalley,China Village Wonton House,3.3,CA$30 for two,"Chinese, Asian","9644 King George Boulevard, Surrey V3T 2V5",+16045811933,13,16
37,Whalley,Jaipur,3.6,CA$30 for two,Indian,"8840 120 Street, Surrey V3V 4B4",+17785641110,14,0
38,Whalley,Pacific Kabab Hut & Catering,3.4,CA$30 for two,"Greek, Middle Eastern","10731 King George Boulevard, Surrey V3T 2X6",+16049570924,16,6
39,Whalley,Tomato Shack Pizza,3.5,CA$35 for two,Pizza,"10322 Whalley Boulevard, Surrey",+16045882727,13,15
40,Whalley,Donegal's Pub,3.3,CA$70 for two,Bar Food,"12054 96 Avenue, Surrey V3V4C1",+16045842112,15,8
41,Whalley,Burger King,3.3,CA$20 for two,"Burger, Fast Food","10153 King George Hwy Central City, Surrey V3T2W5",+16045843371,13,131
42,Whalley,Booster Juice,2.9,CA$20 for two,"Juices, Beverages, Fast Food","Central City, Upper Level, Food Court, 700-10153 King George Boulevard, Surrey V3T5X4",+16045848800,12,6
43,Whalley,McDonald's,2.7,CA$20 for two,Fast Food,"10240 King George Highway, Surrey V3T2W5",+16045877015,13,10
44,Whalley,Charley's Grilled Subs,3.3,CA$25 for two,Fast Food,"Central City, Food Court, Upper Level, 704-10153 King George Boulevard, Surrey V3T5X4",+17783955913,13,6
45,Whalley,D-Plus Pizza,3.4,CA$20 for two,"Pizza, Fast Food","Plaza 102, 10207 King George Boulevard, Surrey V3T",+16045884545,12,3
46,Whalley,Toyama Sushi Express,2.6,CA$25 for two,"Fast Food, Sushi, Japanese, Asian","Central City, Food Court, Upper Level, 701-10153 King George Boulevard, Surrey V3T",+16045848785,11,5
47,Whalley,Freshslice Pizza,3.4,CA$20 for two,"Pizza, Fast Food","10252 City Parkway, Surrey V3T5X4",+16049572277,13,12
48,Whalley,Lighthouse Fresh &Tasty,3.5,CA$35 for two,"Indian, Canadian","9631 128 Street, Surrey V3T",+16045839958,13,2
