,Location,Name,Rating,Price Range,Cuisine Type,Address,Phone Number,Num Reviews,Num Photos
0,Yaletown,Minami Restaurant,4.7,CA$70 for two,"Sushi, Japanese, Asian","1118 Mainland Street, Vancouver V6B 2T9",+16046858080,887,765
1,Yaletown,Rodney's Oyster House,4.4,CA$60 for two,Seafood,"1228 Hamilton Street, Vancouver V6B 6L2",+16046090080,0,325
2,Yaletown,Blue Water Cafe,4.6,CA$140 for two,"Seafood, Pacific Northwest","1095 Hamilton Street, Vancouver V6B 5T4",+16046888078,995,352
3,Yaletown,The Flying Pig,4.4,CA$80 for two,"Canadian, Seafood, Bar Food","1168 Hamilton Street, Vancouver V6B 2S2",+16045681344,802,263
4,Yaletown,Lupo,4.5,CA$120 for two,Italian,"869 Hamilton Street, Vancouver V6B 2R7",+16045692535,313,128
5,Yaletown,Cioppino's Mediterranean Grill,4.4,CA$80 for two,"Italian, Mediterranean, Seafood","1133 Hamilton Street, Vancouver V6B 5P6",+16046887466,353,61
6,Yaletown,Brix & Mortar,4.3,CA$75 for two,"Canadian, Tapas","1137 Hamilton Street, Vancouver V6B 2X6",+16049159463,336,160
7,Yaletown,Provence Marinaside,4.1,CA$80 for two,"Mediterranean, Seafood","1177 Marinaside Crescent, Vancouver V6Z 2Y3",+16046814144,447,192
8,Yaletown,Salsa And Agave,4.1,CA$25 for two,"Mexican, Fast Food","1223 Pacific Boulevard, Vancouver V6Z",+16044084228,437,84
9,Yaletown,Bistro Sakana,4.1,CA$70 for two,"Sushi, Japanese, Asian","1123 Mainland Street, Vancouver V6B 5P2",+16046331280,221,141
10,Yaletown,Homer St. Cafe & Bar,3.9,CA$70 for two,Canadian,"898 Homer Street, Vancouver V6B 5S3",+16044284299,210,132
11,Yaletown,The Parlour,4.1,CA$70 for two,"Pizza, Bar Food","1011 Hamilton Street, Vancouver V6B 2W7",+16045683322,205,111
12,Yaletown,Hapa Izakaya,4.1,CA$55 for two,"Sushi, Japanese, Asian","1193 Hamilton Street, Vancouver V6B 5P6",+16046814272,243,194
13,Yaletown,Yaletown Brewing Co.,3.8,CA$70 for two,"American, Bar Food","1111 Mainland Street, Vancouver V6B 2T9",+16046812739,331,93
14,Yaletown,Black Rice Izakaya,3.5,CA$45 for two,"Sushi, Japanese, Asian","782 Cambie Street, Vancouver V6B 2R5",+17783790416,86,203
15,Yaletown,Robba da Matti,3.9,CA$60 for two,"Italian, Tapas","1127 Mainland Street, Vancouver V6B 5P2",+16045581174,164,153
16,Yaletown,The Keg Steakhouse + Bar - Yaletown,4.2,CA$90 for two,"Steak, Seafood","1011 Mainland Street, Vancouver V6B 5P9",+16046332534,236,165
17,Yaletown,La Terrazza,4.0,CA$80 for two,"Italian, Bar Food","1088 Cambie Street, Vancouver V6B 5X6",+16048994449,175,107
18,Yaletown,La Pentola - Opus Hotel,3.9,CA$85 for two,Italian,"Opus Hotel, 350 Davie Street, Vancouver V6B 2G2",+16046420557,114,155
19,Yaletown,Ebi Ten,4.0,CA$25 for two,"Japanese, Sushi","388 Robson Street, Vancouver V6B 2B2 2B2",+16046899938,203,46
20,Yaletown,Patron Tacos & Cantina,3.9,CA$50 for two,"Mexican, Latin American","265 Robson Street, Vancouver V6B 6A1",+16045583368,164,104
21,Yaletown,Mister,3.5,for two,"Ice Cream, Frozen Yogurt","1141 Mainland Street, Vancouver V6B 5P2",+17783792833,81,66
22,Yaletown,FRESH Japanese Restaurant,4.3,CA$35 for two,"Sushi, Japanese, Asian","909 Expo Boulevard, Vancouver V6Z3G8",+16045686112,124,27
23,Yaletown,On Yogurt,3.5,CA$10 for two,"Desserts, Frozen Yogurt","95 Smithe, Vancouver V6B 1C2",+17787888691,46,110
24,Yaletown,Ki-Isu Sushi,4.4,CA$25 for two,"Sushi, Japanese, Asian","1275 Pacific Boulevard, Vancouver V7V 1H8",+16048990366,132,36
25,Yaletown,West Oak,3.7,CA$90 for two,"Pacific Northwest, Canadian","1035 Mainland Street, Vancouver V6B 1A9",+16046298808,133,86
26,Yaletown,Frankie's Italian Kitchen & Bar,3.8,CA$55 for two,Italian,"765 Beatty Street, Vancouver V6B 4P4",+16046886368,112,47
27,Yaletown,Simply Thai,3.8,CA$60 for two,Thai,"1211 Hamilton Street, Vancouver V6B 6L2",+16046420123,139,31
28,Yaletown,Straight Outta Brooklyn,4.0,CA$25 for two,Pizza,"350 Robson Street, Vancouver V6B 2B2",+16045593500,64,44
29,Yaletown,The New Oxford Public House,3.9,CA$75 for two,"Bar Food, Canadian","1144 Homer Street, Vancouver V6B 2G2",+16046090901,116,43
30,Yaletown,Cactus Club Cafe,4.1,CA$70 for two,Canadian,"357 Davie Street, Vancouver V6B 1R2",+16046858070,152,52
31,Yaletown,Back Forty,3.8,CA$60 for two,"BBQ, Bar Food","118 Robson Street, Vancouver V6B 2M1",+16046885840,101,29
32,Yaletown,Noodlebox,3.0,CA$25 for two,"Asian, Chinese","839 Homer Street, Vancouver, Vancouver V6B 2W2",+16047341316,142,40
33,Yaletown,Fanny Bay Oyster Bar & Shellfish Market,3.5,CA$30 for two,"Canadian, Seafood","762 Cambie Street, Vancouver V6B 2P2",+17783799510,47,92
34,Yaletown,The Greek by Anatoli,3.4,CA$70 for two,"Greek, Mediterranean","1043 Mainland Street, Vancouver V6B 5P9",+16049790700,60,90
35,Yaletown,Earls,3.7,CA$70 for two,Canadian,"1095 Mainland Street, Vancouver V6B1A9",+16046884990,133,35
36,Yaletown,WildTale Coastal Grill,3.2,CA$65 for two,"Pacific Northwest, Seafood","1079 Mainland Street, Vancouver V6B 5P9",+16044289211,47,75
37,Yaletown,The Distillery Bar + Kitchen,3.3,CA$75 for two,"Bar Food, American","1131 Mainland Street, Vancouver V6B 2S2",+16046692255,56,65
